,origCountry,total_samples
0,AA,1
1,AT,14
2,BE,28
3,BG,13
4,CH,2
5,CY,2
6,CZ,159
7,DE,439
8,DK,5
9,EE,4
10,ES,9
11,FI,1
12,FR,13
13,GB,78
14,GR,1
15,IE,28
16,IT,57
17,LT,5
18,LV,1
19,NL,23
20,NZ,8
21,PL,9
22,SK,10
23,XX,16
