,sampCountry,year,tag,num_samples,above_mrl_samples,above_mrl_mean,above_mrl_std,between_loq_and_mrl_samples,between_loq_and_mrl_mean,between_loq_and_mrl_std
2592,CZ,2011,Methidathion,15,0.0,0.0,0.0,15.0,0.02,0.0
2593,CZ,2011,Methoxychlor,15,0.0,0.0,0.0,15.0,0.01,0.0
2594,CZ,2011,Parathion,15,0.0,0.0,0.0,15.0,0.02,0.0
2595,CZ,2011,Parathion-methyl (sum),15,15.0,0.02,0.0,0.0,0.0,0.0
2596,CZ,2011,Permethrin (sum),15,0.0,0.0,0.0,15.0,0.01,0.0
2597,CZ,2011,Pirimiphos-methyl (sum),15,0.0,0.0,0.0,15.0,0.003,0.0
2598,CZ,2011,Profenofos,15,15.0,0.02,0.0,0.0,0.0,0.0
2599,CZ,2011,Pyrazophos,15,15.0,0.02,0.0,0.0,0.0,0.0
2600,CZ,2011,Quintozene (sum),15,0.0,0.0,0.0,15.0,0.01,0.0
2601,CZ,2011,Resmethrin (sum),15,0.0,0.0,0.0,15.0,0.01,0.0
2602,CZ,2011,Tecnazene,15,15.0,0.03,0.0,0.0,0.0,0.0
2603,CZ,2011,Triazophos,15,0.0,0.0,0.0,15.0,0.01,0.0
2610,CZ,2012,Chlorpropham (sum),18,0.0,0.0,0.0,1.0,0.023,0.0
2615,CZ,2012,DDT (sum),18,0.0,0.0,0.0,18.0,0.0048,0.002
2622,CZ,2012,Famoxadone,18,0.0,0.0,0.0,1.0,0.002,0.0
2632,CZ,2012,Hexachlorobenzene,18,0.0,0.0,0.0,18.0,0.0026,0.0008
2633,CZ,2012,Indoxacarb (sum),18,0.0,0.0,0.0,1.0,0.003,0.0
2660,CZ,2013,DDT (sum),22,0.0,0.0,0.0,6.0,0.0075,0.0013
2666,CZ,2013,Etofenprox,22,0.0,0.0,0.0,3.0,0.004,0.001
2679,CZ,2013,Hexachlorobenzene,22,0.0,0.0,0.0,6.0,0.0025,0.0008
2680,CZ,2013,Indoxacarb (sum),22,0.0,0.0,0.0,1.0,0.002,0.0
2715,CZ,2014,DDT (sum),15,0.0,0.0,0.0,6.0,0.0077,0.0017
2723,CZ,2014,Fenpropimorph (sum),15,0.0,0.0,0.0,1.0,0.002,0.0
2734,CZ,2014,Hexachlorobenzene,15,0.0,0.0,0.0,7.0,0.0029,0.001
2758,CZ,2015,DDT (sum),35,0.0,0.0,0.0,18.0,0.0103,0.0043
2769,CZ,2015,Hexachlorobenzene,35,14.0,0.007,0.0009,4.0,0.0022,0.0012
2783,CZ,2016,DDT (sum),35,0.0,0.0,0.0,17.0,0.0081,0.003
2794,CZ,2016,Hexachlorobenzene,35,1.0,0.008,0.0,15.0,0.003,0.0013
2795,CZ,2016,Indoxacarb (sum),35,0.0,0.0,0.0,2.0,0.002,0.0
2809,CZ,2017,DDT (sum),55,0.0,0.0,0.0,16.0,0.0048,0.0036
2823,CZ,2017,Hexachlorobenzene,55,0.0,0.0,0.0,14.0,0.0015,0.0008
2825,CZ,2017,Lindane,55,0.0,0.0,0.0,2.0,0.0,0.0
2840,CZ,2018,DDT (sum),27,0.0,0.0,0.0,11.0,0.004,0.0021
2852,CZ,2018,Hexachlorobenzene,27,0.0,0.0,0.0,5.0,0.0016,0.0005
2866,CZ,2019,DDT (sum),26,0.0,0.0,0.0,13.0,0.0099,0.0046
2879,CZ,2019,Hexachlorobenzene,26,2.0,0.0065,0.0007,10.0,0.0043,0.0005
2893,CZ,2020,DDT (sum),24,1.0,0.053,0.0042,10.0,0.0065,0.002
2904,CZ,2020,Hexachlorobenzene,24,1.0,0.006,0.0,7.0,0.0027,0.001
2918,CZ,2021,DDT (sum),24,0.0,0.0,0.0,10.0,0.0064,0.0054
2931,CZ,2021,Hexachlorobenzene,24,0.0,0.0,0.0,1.0,0.005,0.0
2946,CZ,2022,DDT (sum),26,0.0,0.0,0.0,11.0,0.0046,0.0015
2959,CZ,2022,Hexachlorobenzene,26,0.0,0.0,0.0,9.0,0.0014,0.0005
2960,CZ,2022,Indoxacarb (sum),26,0.0,0.0,0.0,1.0,0.003,0.0
3017,CZ,2024,DDT (sum),34,0.0,0.0,0.0,5.0,0.0032,0.0023
3032,CZ,2024,Hexachlorobenzene,34,0.0,0.0,0.0,1.0,0.002,0.0
3015,CZ,2024,Copper compounds,12,0.0,0.0,0.0,7.0,0.0757,0.0251
3071,DE,2011,DDT (sum),347,0.0,0.0,0.0,163.0,0.0017,0.0028
3079,DE,2011,Endosulfan (sum),347,0.0,0.0,0.0,1.0,0.001,0.0
3094,DE,2011,HCH-alpha,347,0.0,0.0,0.0,3.0,0.002,0.0017
3095,DE,2011,HCH-beta,347,0.0,0.0,0.0,4.0,0.0014,0.0007
3098,DE,2011,Hexachlorobenzene,347,0.0,0.0,0.0,195.0,0.0013,0.0012
3102,DE,2011,Lindane,347,0.0,0.0,0.0,5.0,0.0009,0.0002
3237,DE,2012,DDT (sum),586,0.0,0.0,0.0,176.0,0.0032,0.0058
3252,DE,2012,Dieldrin (sum),586,0.0,0.0,0.0,3.0,0.0016,0.0012
3277,DE,2012,Endosulfan (sum),586,0.0,0.0,0.0,2.0,0.0009,0.0001
3343,DE,2012,Hexachlorobenzene,586,1.0,0.006,0.0,230.0,0.0011,0.0012
3339,DE,2012,HCH-alpha,585,0.0,0.0,0.0,1.0,0.0005,0.0
3340,DE,2012,HCH-beta,585,0.0,0.0,0.0,4.0,0.0014,0.0012
3278,DE,2012,Endrin,563,0.0,0.0,0.0,3.0,0.0001,0.0
3341,DE,2012,Heptachlor (sum),563,0.0,0.0,0.0,2.0,0.0004,0.0001
3416,DE,2012,Permethrin (sum),357,0.0,0.0,0.0,1.0,0.0005,0.0
3457,DE,2012,Quintozene (sum),329,0.0,0.0,0.0,1.0,0.001,0.0
3469,DE,2012,Tecnazene,290,0.0,0.0,0.0,1.0,0.002,0.0
3370,DE,2012,Mercury compounds,209,1.0,0.0132,0.0,19.0,0.0032,0.0018
3220,DE,2012,Copper compounds,124,0.0,0.0,0.0,71.0,0.5285,0.2421
3401,DE,2012,Not in list,47,17.0,0.4879,0.4604,0.0,0.0,0.0
3236,DE,2012,DDAC (mix),23,4.0,23.1825,44.2045,5.0,0.0234,0.01
3570,DE,2013,DDT (sum),427,0.0,0.0,0.0,114.0,0.0011,0.0018
3655,DE,2013,Lindane,427,0.0,0.0,0.0,5.0,0.0002,0.0003
3543,DE,2013,Chlordane (sum),410,0.0,0.0,0.0,1.0,0.0004,0.0
3592,DE,2013,Endosulfan (sum),410,0.0,0.0,0.0,1.0,0.001,0.0
3640,DE,2013,Heptachlor (sum),410,0.0,0.0,0.0,3.0,0.0003,0.0002
3641,DE,2013,Hexachlorobenzene,410,1.0,0.0157,0.0,217.0,0.0005,0.0008
3661,DE,2013,Mercury compounds,293,0.0,0.0,0.0,6.0,0.0051,0.0023
3558,DE,2013,Copper compounds,279,0.0,0.0,0.0,88.0,0.0766,0.0494
3520,DE,2013,Benzalkonium chloride,110,5.0,0.284,0.0832,9.0,0.0363,0.0286
3569,DE,2013,DDAC (mix),110,2.0,0.99,1.0324,7.0,0.0277,0.0188
3819,DE,2014,DDT (sum),300,0.0,0.0,0.0,104.0,0.0006,0.0008
3866,DE,2014,HCH-alpha,300,0.0,0.0,0.0,1.0,0.0003,0.0
3879,DE,2014,Lindane,299,0.0,0.0,0.0,6.0,0.0001,0.0
3871,DE,2014,Hexachlorobenzene,268,0.0,0.0,0.0,206.0,0.0002,0.0002
3828,DE,2014,Dieldrin (sum),254,0.0,0.0,0.0,1.0,0.0006,0.0
3906,DE,2014,Permethrin (sum),232,0.0,0.0,0.0,3.0,0.0011,0.0005
3882,DE,2014,Mercury compounds,217,0.0,0.0,0.0,1.0,0.0017,0.0
3811,DE,2014,Copper compounds,186,1.0,8.05,0.0,80.0,0.3368,0.2227
3782,DE,2014,Benzalkonium chloride,112,17.0,1.9585,3.5192,9.0,0.0398,0.0238
3818,DE,2014,DDAC (mix),109,11.0,6.6,10.0142,1.0,0.093,0.0
3780,DE,2014,BAC 18,53,1.0,0.87,0.0,1.0,0.068,0.0
4036,DE,2015,DDT (sum),502,0.0,0.0,0.0,108.0,0.0017,0.0024
4166,DE,2015,Lindane,502,0.0,0.0,0.0,5.0,0.0,0.0
4139,DE,2015,HCH-beta,486,0.0,0.0,0.0,1.0,0.0001,0.0
4049,DE,2015,Dieldrin (sum),477,0.0,0.0,0.0,4.0,0.001,0.0004
4145,DE,2015,Hexachlorobenzene,466,1.0,0.005,0.0,150.0,0.0009,0.0011
4143,DE,2015,Heptachlor (sum of isomers),461,0.0,0.0,0.0,2.0,0.0005,0.0001
4222,DE,2015,Permethrin (sum),425,0.0,0.0,0.0,1.0,0.0013,0.0
3979,DE,2015,Benzalkonium chloride,76,11.0,1.8975,1.7792,5.0,0.0484,0.0272
4035,DE,2015,DDAC (mix),76,10.0,7.4252,7.0323,0.0,0.0,0.0
4177,DE,2015,Mercury compounds,55,0.0,0.0,0.0,6.0,0.0041,0.0026
4024,DE,2015,Copper compounds,28,0.0,0.0,0.0,23.0,0.063,0.0176
4406,DE,2016,DDT (sum),332,0.0,0.0,0.0,29.0,0.0008,0.0019
4523,DE,2016,Hexachlorobenzene,315,0.0,0.0,0.0,66.0,0.0001,0.0001
4550,DE,2016,Lindane,311,0.0,0.0,0.0,1.0,0.0,0.0
4401,DE,2016,Cypermethrin (sum),281,0.0,0.0,0.0,1.0,0.0016,0.0
4408,DE,2016,Deltamethrin,281,0.0,0.0,0.0,1.0,0.0012,0.0
4344,DE,2016,Benzalkonium chloride,114,1.0,0.15,0.0,0.0,0.0,0.0
4373,DE,2016,Chlorate,66,0.0,0.0,0.0,1.0,0.018,0.0
4560,DE,2016,Mercury compounds,25,1.0,0.0109,0.0,3.0,0.0059,0.0022
4391,DE,2016,Copper compounds,20,0.0,0.0,0.0,9.0,0.0582,0.0068
4793,DE,2017,DDT (sum),217,0.0,0.0,0.0,20.0,0.0009,0.0016
4907,DE,2017,Lindane,217,0.0,0.0,0.0,1.0,0.0,0.0
4818,DE,2017,Endosulfan (sum),211,0.0,0.0,0.0,2.0,0.0217,0.0168
4886,DE,2017,Hexachlorobenzene,211,0.0,0.0,0.0,21.0,0.0006,0.0012
5010,DE,2017,Tetraconazole (sum),61,0.0,0.0,0.0,1.0,0.006,0.0
4781,DE,2017,Copper compounds,55,0.0,0.0,0.0,40.0,0.3285,0.2326
4742,DE,2017,BAC 12,38,0.0,0.0,0.0,1.0,0.024,0.0
4752,DE,2017,Benzalkonium chloride,19,0.0,0.0,0.0,1.0,0.024,0.0
4792,DE,2017,DDAC (mix),19,0.0,0.0,0.0,1.0,0.023,0.0
5128,DE,2018,DDT (sum),323,0.0,0.0,0.0,30.0,0.0084,0.0054
5244,DE,2018,Hexachlorobenzene,321,0.0,0.0,0.0,20.0,0.002,0.0008
5103,DE,2018,Chlorpyrifos,312,0.0,0.0,0.0,1.0,0.0041,0.0
5052,DE,2018,BAC 14,80,0.0,0.0,0.0,1.0,0.014,0.0
5127,DE,2018,DDAC (mix),80,0.0,0.0,0.0,1.0,0.033,0.0
5064,DE,2018,Benzalkonium chloride,52,0.0,0.0,0.0,1.0,0.02,0.0
5155,DE,2018,Diphenylamine,44,0.0,0.0,0.0,1.0,0.01,0.0
