,year,sampCountry,total_samples,VAL_samples,limit_samples
175,2022,BE,16,0.0,0.0
176,2022,DE,216,16.0,0.0
177,2022,DK,49,1.0,0.0
178,2022,ES,21,0.0,0.0
179,2022,FR,309,1.0,0.0
180,2022,GR,2,0.0,0.0
181,2022,HR,14,0.0,0.0
182,2022,IE,90,5.0,2.0
183,2022,IT,271,5.0,1.0
184,2022,LT,4,0.0,0.0
185,2022,LU,15,0.0,0.0
186,2022,NL,34,19.0,19.0
187,2022,NO,242,0.0,0.0
188,2022,PL,55,0.0,0.0
189,2022,RO,13,0.0,0.0
190,2022,SE,5,0.0,0.0
191,2022,SI,12,0.0,0.0
192,2022,XI,72,0.0,0.0
193,2023,BE,80,2.0,0.0
194,2023,CY,5,5.0,0.0
195,2023,CZ,35,0.0,0.0
196,2023,DE,182,13.0,0.0
197,2023,DK,49,9.0,0.0
198,2023,ES,6,0.0,0.0
199,2023,FR,8,0.0,0.0
200,2023,GR,23,0.0,0.0
201,2023,HU,20,20.0,20.0
202,2023,IE,84,3.0,3.0
203,2023,IT,341,4.0,2.0
204,2023,LT,24,0.0,0.0
205,2023,LV,1,0.0,0.0
206,2023,ME,56,0.0,0.0
207,2023,MK,29,0.0,0.0
208,2023,NO,54,2.0,0.0
209,2023,PL,157,0.0,0.0
210,2023,PT,7,1.0,0.0
211,2023,RO,10,0.0,0.0
212,2023,SE,29,0.0,0.0
213,2023,SI,22,0.0,0.0
214,2023,XI,63,0.0,0.0
