,sampCountry,mean_samples
0,AT,24.0
1,BE,35.0
2,BG,13.0
3,CY,0.0
4,CZ,14.08
5,DE,130.0
6,DK,7.0
7,EE,15.0
8,ES,6.6
9,FI,0.0
10,FR,2.0
11,GB,96.75
12,GR,14.0
13,HR,26.0
14,HU,15.4
15,IE,7.0
16,IT,24.15
17,LT,7.5
18,LV,0.0
19,MT,7.0
20,NL,22.0
21,NO,0.0
22,PL,45.0
23,RO,8.5
24,SE,0.0
25,SI,11.5
26,SK,0.33
