,year,origCountry,resVal
0,2011,BE,0.01177
1,2012,BE,0.01
2,2013,BE,0.02611
3,2014,XX,0.001326
4,2015,AT,0.0275
5,2016,BE,0.03066
6,2017,RO,0.002
7,2018,DE,0.005
8,2019,DE,0.000144
9,2020,HU,0.005
10,2021,HU,0.005
11,2022,DE,8.4e-05
12,2023,HU,0.005
13,2024,DE,0.00012
