,year,origCountry,resVal
0,2012,DE,1.1
1,2013,DE,0.43
2,2014,DE,0.295
3,2015,XX,0.11
4,2016,DE,0.071
5,2017,DE,1.05
6,2018,DE,0.22
7,2019,DE,0.17
8,2020,DK,0.08
9,2021,DE,0.0969
10,2022,AT,0.079
11,2023,DE,0.066
12,2024,MK,15.85
