,year,origCountry,total_samples,VAL_samples,limit_samples
175,2020,SI,8,0.0,0.0
176,2021,AT,12,0.0,0.0
177,2021,BE,42,2.0,0.0
178,2021,CZ,14,2.0,1.0
179,2021,DE,180,32.0,0.0
180,2021,DK,30,8.0,0.0
181,2021,ES,3,0.0,0.0
182,2021,FR,164,1.0,0.0
183,2021,GB,3,0.0,0.0
184,2021,HU,6,6.0,6.0
185,2021,IE,90,25.0,0.0
186,2021,IT,191,0.0,0.0
187,2021,LU,2,2.0,0.0
188,2021,NL,33,2.0,0.0
189,2021,PL,40,0.0,0.0
190,2021,SE,5,0.0,0.0
191,2021,SI,8,0.0,0.0
192,2021,XI,44,0.0,0.0
193,2022,AT,18,9.0,0.0
194,2022,BE,18,6.0,4.0
195,2022,CZ,2,0.0,0.0
196,2022,DE,198,16.0,2.0
197,2022,DK,49,1.0,0.0
198,2022,ES,22,0.0,0.0
199,2022,FR,313,1.0,0.0
200,2022,GB,10,0.0,0.0
201,2022,GR,3,0.0,0.0
202,2022,HR,14,0.0,0.0
203,2022,HU,2,0.0,0.0
204,2022,IE,90,5.0,2.0
205,2022,IT,247,4.0,1.0
206,2022,LT,4,0.0,0.0
207,2022,LU,19,2.0,0.0
208,2022,NL,24,13.0,13.0
209,2022,NO,242,0.0,0.0
210,2022,PL,55,0.0,0.0
211,2022,RO,11,0.0,0.0
212,2022,SE,5,0.0,0.0
213,2022,SI,8,0.0,0.0
214,2022,XI,62,0.0,0.0
215,2023,AT,12,0.0,0.0
216,2023,BE,78,3.0,0.0
217,2023,CY,5,5.0,0.0
218,2023,CZ,33,0.0,0.0
219,2023,DE,176,11.0,0.0
220,2023,DK,49,9.0,0.0
221,2023,ES,6,0.0,0.0
222,2023,FR,10,0.0,0.0
223,2023,GR,23,0.0,0.0
224,2023,HU,17,17.0,17.0
225,2023,IE,82,3.0,3.0
226,2023,IT,324,4.0,2.0
227,2023,LT,24,0.0,0.0
228,2023,LU,3,1.0,0.0
229,2023,LV,1,0.0,0.0
230,2023,ME,56,0.0,0.0
231,2023,MK,29,0.0,0.0
232,2023,NL,1,0.0,0.0
233,2023,NO,54,2.0,0.0
234,2023,PL,155,0.0,0.0
235,2023,PT,7,1.0,0.0
236,2023,RO,10,0.0,0.0
237,2023,SE,29,0.0,0.0
238,2023,SI,19,0.0,0.0
239,2023,XI,63,0.0,0.0
