,Unnamed: 0,country,year,limit,unique_sample_count,success,obligaotry_samples,voluntary_samples,obligatory_success
120,120.0,BA,2016,0,0.0,True,0,0,True
121,121.0,BA,2019,0,10.0,True,0,10,True
122,122.0,BA,2022,0,12.0,True,12,0,True
123,123.0,MK,2013,0,0.0,True,0,0,True
124,124.0,MK,2016,0,0.0,True,0,0,True
125,125.0,MK,2019,0,0.0,True,0,0,True
126,126.0,MK,2022,0,0.0,True,0,0,True
127,127.0,MN,2013,0,0.0,True,0,0,True
128,128.0,MN,2016,0,0.0,True,0,0,True
129,129.0,MN,2019,0,0.0,True,0,0,True
130,130.0,MN,2022,0,0.0,True,0,0,True
131,,AT,2010,12,17.0,True,17,0,True
132,,BE,2010,12,15.0,True,15,0,True
133,,BG,2010,12,0.0,False,0,0,False
134,,CY,2010,12,5.0,False,5,0,False
135,,CZ,2010,12,0.0,False,0,0,False
136,,DK,2010,12,15.0,True,15,0,True
137,,EE,2010,12,15.0,True,15,0,True
138,,FI,2010,12,16.0,True,16,0,True
139,,FR,2010,66,0.0,False,0,0,False
140,,DE,2010,93,94.0,True,94,0,True
141,,GR,2010,12,0.0,False,0,0,False
142,,HU,2010,12,0.0,False,0,0,False
143,,IS,2010,0,0.0,True,0,0,True
144,,IE,2010,12,68.0,True,68,0,True
145,,IT,2010,65,0.0,False,0,0,False
146,,LV,2010,12,8.0,False,8,0,False
147,,LT,2010,12,10.0,False,10,0,False
148,,LU,2010,12,18.0,True,18,0,True
149,,MT,2010,12,0.0,False,0,0,False
150,,NL,2010,17,22.0,True,22,0,True
151,,NO,2010,0,15.0,True,15,0,True
152,,PL,2010,45,1.0,False,1,0,False
153,,PT,2010,12,0.0,False,0,0,False
154,,RO,2010,17,38.0,True,38,0,True
155,,SK,2010,12,15.0,True,15,0,True
156,,SI,2010,12,1.0,False,1,0,False
157,,ES,2010,45,16.0,False,16,0,False
158,,SE,2010,12,30.0,True,30,0,True
159,,GB,2010,66,235.0,True,235,0,True
