,sampCountry,total_samples
0,AT,174
1,BE,204
2,BG,13
3,CY,30
4,CZ,192
5,DE,1954
6,DK,22
7,EE,30
8,ES,113
9,FI,26
10,FR,64
11,GB,387
12,GR,28
13,HR,26
14,HU,85
15,IE,36
16,IT,380
17,LT,29
18,LV,30
19,MT,21
20,NL,44
21,NO,30
22,PL,270
23,RO,17
24,SE,60
25,SI,48
26,SK,31
