,year,origCountry,resVal
0,2012,DE,0.006
1,2013,DE,0.008
2,2014,DE,0.0017
3,2015,DE,0.0092
4,2021,DK,0.0004
5,2023,DK,0.001
6,2024,XX,0.0025
