,year,origCountry,resVal
0,2011,CZ,0.018
1,2012,LT,0.006
2,2013,DE,0.0157
3,2014,AT,0.151
4,2015,AT,0.2725
5,2016,CZ,0.00799
6,2017,DE,0.005
7,2018,DE,0.00246
8,2019,CZ,0.007
9,2020,CZ,0.006
10,2021,CZ,0.005
11,2022,DE,0.0024
12,2024,DE,0.005
