,sampCountry,year,tag,num_samples,above_mrl_samples,above_mrl_mean,above_mrl_std,between_loq_and_mrl_samples,between_loq_and_mrl_mean,between_loq_and_mrl_std
3511,DE,2014,DDT (sum),231,0.0,0.0,0.0,84.0,0.0005,0.0007
3569,DE,2014,Lindane,230,0.0,0.0,0.0,5.0,0.0001,0.0
3562,DE,2014,Hexachlorobenzene,212,0.0,0.0,0.0,186.0,0.0002,0.0002
3595,DE,2014,Permethrin (sum),205,0.0,0.0,0.0,3.0,0.0011,0.0005
3475,DE,2014,Benzalkonium chloride,67,17.0,1.9585,3.5192,7.0,0.0476,0.0209
3510,DE,2014,DDAC (mix),64,11.0,6.6,10.0142,0.0,0.0,0.0
3473,DE,2014,BAC 18,53,1.0,0.87,0.0,1.0,0.068,0.0
3572,DE,2014,Mercury compounds,18,0.0,0.0,0.0,1.0,0.0017,0.0
3504,DE,2014,Copper compounds,9,0.0,0.0,0.0,5.0,0.1794,0.0795
3719,DE,2015,DDT (sum),322,0.0,0.0,0.0,51.0,0.0004,0.0007
3843,DE,2015,Lindane,322,0.0,0.0,0.0,5.0,0.0,0.0
3819,DE,2015,HCH-beta,306,0.0,0.0,0.0,1.0,0.0001,0.0
3823,DE,2015,Hexachlorobenzene,289,0.0,0.0,0.0,78.0,0.0002,0.0002
3897,DE,2015,Permethrin (sum),272,0.0,0.0,0.0,1.0,0.0013,0.0
3665,DE,2015,Benzalkonium chloride,76,11.0,1.8975,1.7792,5.0,0.0484,0.0272
3718,DE,2015,DDAC (mix),76,10.0,7.4252,7.0323,0.0,0.0,0.0
3854,DE,2015,Mercury compounds,39,0.0,0.0,0.0,2.0,0.0066,0.0037
3709,DE,2015,Copper compounds,28,0.0,0.0,0.0,23.0,0.063,0.0176
4076,DE,2016,DDT (sum),307,0.0,0.0,0.0,26.0,0.0002,0.0003
4191,DE,2016,Hexachlorobenzene,291,0.0,0.0,0.0,66.0,0.0001,0.0001
4218,DE,2016,Lindane,286,0.0,0.0,0.0,1.0,0.0,0.0
4071,DE,2016,Cypermethrin (sum),276,0.0,0.0,0.0,1.0,0.0016,0.0
4078,DE,2016,Deltamethrin,276,0.0,0.0,0.0,1.0,0.0012,0.0
4014,DE,2016,Benzalkonium chloride,114,1.0,0.15,0.0,0.0,0.0,0.0
4043,DE,2016,Chlorate,66,0.0,0.0,0.0,1.0,0.018,0.0
4061,DE,2016,Copper compounds,20,0.0,0.0,0.0,9.0,0.0582,0.0068
4456,DE,2017,DDT (sum),177,0.0,0.0,0.0,16.0,0.0004,0.0007
4565,DE,2017,Lindane,177,0.0,0.0,0.0,1.0,0.0,0.0
4544,DE,2017,Hexachlorobenzene,172,0.0,0.0,0.0,16.0,0.0001,0.0
4445,DE,2017,Copper compounds,55,0.0,0.0,0.0,40.0,0.3285,0.2326
4665,DE,2017,Tetraconazole (sum),45,0.0,0.0,0.0,1.0,0.006,0.0
4409,DE,2017,BAC 12,28,0.0,0.0,0.0,1.0,0.024,0.0
4419,DE,2017,Benzalkonium chloride,9,0.0,0.0,0.0,1.0,0.024,0.0
4753,DE,2018,DDT (sum),149,0.0,0.0,0.0,8.0,0.0114,0.0089
4843,DE,2018,Hexachlorobenzene,148,0.0,0.0,0.0,2.0,0.0035,0.0021
4700,DE,2018,BAC 14,69,0.0,0.0,0.0,1.0,0.014,0.0
4708,DE,2018,Benzalkonium chloride,41,0.0,0.0,0.0,1.0,0.02,0.0
4740,DE,2018,Copper compounds,40,0.0,0.0,0.0,19.0,0.0643,0.0381
5119,DE,2019,DDT (sum),302,0.0,0.0,0.0,6.0,0.0057,0.0038
