,origCountry,year,tag,num_samples,above_mrl_samples,above_mrl_mean,above_mrl_std,between_loq_and_mrl_samples,between_loq_and_mrl_mean,between_loq_and_mrl_std
5229,CY,2015,DDT (sum),19,0.0,0.0,0.0,3.0,0.0132,0.0105
5368,CY,2016,DDT (sum),25,0.0,0.0,0.0,2.0,0.005,0.0018
5997,CY,2023,Copper compounds,5,0.0,0.0,0.0,5.0,0.0436,0.0047
6006,CY,2024,Copper compounds,5,0.0,0.0,0.0,4.0,0.0422,0.0114
6046,CZ,2011,Abamectin (sum),15,0.0,0.0,0.0,15.0,0.005,0.0
6047,CZ,2011,Azinphos-ethyl,15,0.0,0.0,0.0,15.0,0.01,0.0
6048,CZ,2011,Bifenthrin (sum),15,0.0,0.0,0.0,15.0,0.005,0.0
6049,CZ,2011,Camphechlor (sum),15,0.0,0.0,0.0,15.0,0.002,0.0
6050,CZ,2011,Chlordane (sum),15,15.0,0.001,0.0,15.0,0.001,0.0
6051,CZ,2011,Chlorobenzilate,15,0.0,0.0,0.0,15.0,0.03,0.0
6052,CZ,2011,Chlorpyrifos,15,0.0,0.0,0.0,15.0,0.002,0.0
6053,CZ,2011,Chlorpyrifos-methyl,15,0.0,0.0,0.0,15.0,0.004,0.0
6054,CZ,2011,Cyfluthrin (sum),15,0.0,0.0,0.0,15.0,0.005,0.0
6055,CZ,2011,Cypermethrin (sum),15,0.0,0.0,0.0,15.0,0.0083,0.0024
6056,CZ,2011,DDT (sum),15,0.0,0.0,0.0,15.0,0.0139,0.01
6057,CZ,2011,Deltamethrin,15,0.0,0.0,0.0,15.0,0.0063,0.001
6058,CZ,2011,Diazinon,15,0.0,0.0,0.0,15.0,0.003,0.0
6059,CZ,2011,Dieldrin (sum),15,0.0,0.0,0.0,15.0,0.001,0.0
6060,CZ,2011,Endosulfan (sum),15,0.0,0.0,0.0,15.0,0.001,0.0
6061,CZ,2011,Endrin,15,10.0,0.001,0.0,5.0,0.0002,0.0
6062,CZ,2011,Fenthion (sum),15,0.0,0.0,0.0,15.0,0.01,0.0
6063,CZ,2011,Fenvalerate/Esfenvalerate (sum),15,15.0,0.005,0.0,0.0,0.0,0.0
6064,CZ,2011,HCH-alpha,15,0.0,0.0,0.0,15.0,0.0017,0.0005
6065,CZ,2011,HCH-beta,15,0.0,0.0,0.0,15.0,0.0017,0.0005
6066,CZ,2011,Heptachlor (sum),15,0.0,0.0,0.0,15.0,0.001,0.0
6067,CZ,2011,Hexachlorobenzene,15,10.0,0.0122,0.0029,5.0,0.001,0.0
6068,CZ,2011,Lindane,15,0.0,0.0,0.0,15.0,0.001,0.0
6069,CZ,2011,Methidathion,15,0.0,0.0,0.0,15.0,0.02,0.0
6070,CZ,2011,Methoxychlor,15,0.0,0.0,0.0,15.0,0.01,0.0
6071,CZ,2011,Parathion,15,0.0,0.0,0.0,15.0,0.02,0.0
6072,CZ,2011,Parathion-methyl (sum),15,15.0,0.02,0.0,0.0,0.0,0.0
6073,CZ,2011,Permethrin (sum),15,0.0,0.0,0.0,15.0,0.01,0.0
6074,CZ,2011,Pirimiphos-methyl (sum),15,0.0,0.0,0.0,15.0,0.003,0.0
6075,CZ,2011,Profenofos,15,15.0,0.02,0.0,0.0,0.0,0.0
6076,CZ,2011,Pyrazophos,15,15.0,0.02,0.0,0.0,0.0,0.0
6077,CZ,2011,Quintozene (sum),15,0.0,0.0,0.0,15.0,0.01,0.0
6078,CZ,2011,Resmethrin (sum),15,0.0,0.0,0.0,15.0,0.01,0.0
6079,CZ,2011,Tecnazene,15,15.0,0.03,0.0,0.0,0.0,0.0
6080,CZ,2011,Triazophos,15,0.0,0.0,0.0,15.0,0.01,0.0
6088,CZ,2012,Chlorpropham (sum),22,0.0,0.0,0.0,1.0,0.023,0.0
6093,CZ,2012,DDT (sum),22,0.0,0.0,0.0,21.0,0.0057,0.0029
6112,CZ,2012,Hexachlorobenzene,22,0.0,0.0,0.0,18.0,0.0026,0.0008
6100,CZ,2012,Famoxadone,18,0.0,0.0,0.0,1.0,0.002,0.0
6113,CZ,2012,Indoxacarb (sum),18,0.0,0.0,0.0,1.0,0.003,0.0
6186,CZ,2013,DDT (sum),23,0.0,0.0,0.0,6.0,0.0075,0.0013
6210,CZ,2013,Etofenprox,23,0.0,0.0,0.0,3.0,0.004,0.001
6248,CZ,2013,Hexachlorobenzene,23,0.0,0.0,0.0,6.0,0.0025,0.0008
6253,CZ,2013,Indoxacarb (sum),23,0.0,0.0,0.0,1.0,0.002,0.0
6185,CZ,2013,DDAC (mix),2,1.0,0.17,0.0,0.0,0.0,0.0
6412,CZ,2014,DDT (sum),24,0.0,0.0,0.0,6.0,0.0077,0.0017
6483,CZ,2014,Hexachlorobenzene,24,0.0,0.0,0.0,7.0,0.0029,0.001
6455,CZ,2014,Fenpropimorph (sum),23,0.0,0.0,0.0,1.0,0.002,0.0
6616,CZ,2015,DDT (sum),36,0.0,0.0,0.0,19.0,0.01,0.0044
6631,CZ,2015,Hexachlorobenzene,36,14.0,0.007,0.0009,5.0,0.0019,0.0013
6748,CZ,2016,Hexachlorobenzene,41,1.0,0.008,0.0,15.0,0.003,0.0013
6692,CZ,2016,DDT (sum),40,0.0,0.0,0.0,17.0,0.0081,0.003
6754,CZ,2016,Indoxacarb (sum),37,0.0,0.0,0.0,2.0,0.002,0.0
6855,CZ,2017,DDT (sum),54,0.0,0.0,0.0,14.0,0.0055,0.0034
6867,CZ,2017,Hexachlorobenzene,54,0.0,0.0,0.0,12.0,0.0018,0.0006
6886,CZ,2018,DDT (sum),28,0.0,0.0,0.0,11.0,0.004,0.0021
6906,CZ,2018,Hexachlorobenzene,28,0.0,0.0,0.0,5.0,0.0016,0.0005
6948,CZ,2019,DDT (sum),29,0.0,0.0,0.0,13.0,0.0099,0.0046
6981,CZ,2019,Hexachlorobenzene,29,2.0,0.0065,0.0007,10.0,0.0043,0.0005
7024,CZ,2020,DDT (sum),24,1.0,0.053,0.0042,10.0,0.0065,0.002
7035,CZ,2020,Hexachlorobenzene,24,1.0,0.006,0.0,7.0,0.0027,0.001
7086,CZ,2021,Chlorpyrifos,26,0.0,0.0,0.0,1.0,0.005,0.0
7087,CZ,2021,Chlorpyrifos-methyl,26,0.0,0.0,0.0,1.0,0.005,0.0
7098,CZ,2021,Cypermethrin (sum),26,0.0,0.0,0.0,1.0,0.01,0.0
7101,CZ,2021,DDT (sum),26,0.0,0.0,0.0,11.0,0.0074,0.0066
7102,CZ,2021,Deltamethrin,26,0.0,0.0,0.0,1.0,0.02,0.0
7104,CZ,2021,Diazinon,26,0.0,0.0,0.0,1.0,0.01,0.0
7109,CZ,2021,Dieldrin (sum),26,0.0,0.0,0.0,1.0,0.0027,0.0012
7125,CZ,2021,Endosulfan (sum),26,0.0,0.0,0.0,1.0,0.0075,0.005
7134,CZ,2021,Famoxadone,26,0.0,0.0,0.0,1.0,0.01,0.0
7144,CZ,2021,Fenvalerate/Esfenvalerate (sum),26,0.0,0.0,0.0,1.0,0.01,0.0
7145,CZ,2021,Fipronil (sum),26,0.0,0.0,0.0,1.0,0.0027,0.0012
7167,CZ,2021,HCH-alpha,26,0.0,0.0,0.0,1.0,0.005,0.0
7168,CZ,2021,HCH-beta,26,0.0,0.0,0.0,1.0,0.005,0.0
7169,CZ,2021,Heptachlor (sum),26,0.0,0.0,0.0,1.0,0.002,0.0014
7171,CZ,2021,Hexachlorobenzene,26,0.0,0.0,0.0,2.0,0.005,0.0
7178,CZ,2021,Indoxacarb (sum),26,0.0,0.0,0.0,1.0,0.01,0.0
7192,CZ,2021,Lindane,26,0.0,0.0,0.0,1.0,0.005,0.0
7207,CZ,2021,Methoxychlor,26,0.0,0.0,0.0,1.0,0.005,0.0
7232,CZ,2021,Parathion,26,0.0,0.0,0.0,1.0,0.01,0.0
7238,CZ,2021,Permethrin (sum),26,0.0,0.0,0.0,1.0,0.01,0.0
7249,CZ,2021,Pirimiphos-methyl (sum),26,0.0,0.0,0.0,1.0,0.01,0.0
7236,CZ,2021,Pendimethalin,25,0.0,0.0,0.0,1.0,0.01,0.0
7054,CZ,2021,Azinphos-ethyl,2,0.0,0.0,0.0,1.0,0.01,0.0
7064,CZ,2021,Bixafen (sum),2,1.0,0.01,0.0,0.0,0.0,0.0
7083,CZ,2021,Chlorobenzilate,2,0.0,0.0,0.0,1.0,0.01,0.0
7096,CZ,2021,Cyfluthrin (sum),2,0.0,0.0,0.0,1.0,0.01,0.0
7126,CZ,2021,Endrin,2,0.0,0.0,0.0,1.0,0.0008,0.0
7131,CZ,2021,Etofenprox,2,0.0,0.0,0.0,1.0,0.01,0.0
7132,CZ,2021,Etoxazole,2,1.0,0.01,0.0,0.0,0.0,0.0
7143,CZ,2021,Fenthion (sum),2,1.0,0.002,0.0,1.0,0.0027,0.0031
7155,CZ,2021,Fluquinconazole,2,0.0,0.0,0.0,1.0,0.01,0.0
7205,CZ,2021,Methidathion,2,0.0,0.0,0.0,1.0,0.01,0.0
7233,CZ,2021,Parathion-methyl (sum),2,1.0,0.005,0.0,1.0,0.0075,0.0035
7250,CZ,2021,Profenofos,2,0.0,0.0,0.0,1.0,0.01,0.0
7269,CZ,2021,Pyrazophos,2,0.0,0.0,0.0,1.0,0.01,0.0
7271,CZ,2021,Pyridaben,2,1.0,0.01,0.0,0.0,0.0,0.0
7275,CZ,2021,Pyriproxyfen,2,1.0,0.01,0.0,0.0,0.0,0.0
7279,CZ,2021,Quintozene (sum),2,1.0,0.005,0.0,1.0,0.0075,0.0035
7302,CZ,2021,Tetraconazole (sum),2,0.0,0.0,0.0,1.0,0.01,0.0
7314,CZ,2021,Triazophos,2,0.0,0.0,0.0,1.0,0.01,0.0
7044,CZ,2021,Abamectin (sum),1,1.0,0.01,0.0,0.0,0.0,0.0
7045,CZ,2021,Acephate,1,1.0,0.01,0.0,0.0,0.0,0.0
7046,CZ,2021,Acetochlor,1,1.0,0.01,0.0,0.0,0.0,0.0
7047,CZ,2021,Aclonifen,1,1.0,0.01,0.0,0.0,0.0,0.0
7048,CZ,2021,Alachlor,1,1.0,0.01,0.0,0.0,0.0,0.0
7049,CZ,2021,Aldicarb (sum),1,1.0,0.0045,0.003,0.0,0.0,0.0
7050,CZ,2021,Ametoctradin (sum),1,1.0,0.01,0.0,0.0,0.0,0.0
7051,CZ,2021,Ametryn,1,1.0,0.01,0.0,0.0,0.0,0.0
7052,CZ,2021,Amitraz (sum),1,1.0,0.005,0.0043,0.0,0.0,0.0
7053,CZ,2021,Atrazine,1,1.0,0.01,0.0,0.0,0.0,0.0
7055,CZ,2021,Azinphos-methyl,1,0.0,0.0,0.0,1.0,0.01,0.0
7056,CZ,2021,Aziprotryne,1,1.0,0.01,0.0,0.0,0.0,0.0
7057,CZ,2021,Azoxystrobin,1,1.0,0.01,0.0,0.0,0.0,0.0
7058,CZ,2021,Benalaxyl (sum),1,1.0,0.01,0.0,0.0,0.0,0.0
7059,CZ,2021,Bifenox,1,1.0,0.01,0.0,0.0,0.0,0.0
7061,CZ,2021,Bioresmethrin,1,1.0,0.01,0.0,0.0,0.0,0.0
7062,CZ,2021,Biphenyl,1,1.0,0.01,0.0,0.0,0.0,0.0
7063,CZ,2021,Bitertanol (sum),1,1.0,0.01,0.0,0.0,0.0,0.0
7065,CZ,2021,Boscalid (sum),1,0.0,0.0,0.0,1.0,0.01,0.0
7066,CZ,2021,Bromfenvinfos,1,1.0,0.01,0.0,0.0,0.0,0.0
7067,CZ,2021,Bromophos,1,1.0,0.01,0.0,0.0,0.0,0.0
7068,CZ,2021,Bromophos-ethyl,1,1.0,0.01,0.0,0.0,0.0,0.0
7069,CZ,2021,Bromopropylate,1,1.0,0.01,0.0,0.0,0.0,0.0
7070,CZ,2021,Bromuconazole (sum),1,1.0,0.01,0.0,0.0,0.0,0.0
7071,CZ,2021,Buprofezin,1,1.0,0.01,0.0,0.0,0.0,0.0
7072,CZ,2021,Butylate,1,1.0,0.01,0.0,0.0,0.0,0.0
7073,CZ,2021,Cadusafos,1,1.0,0.01,0.0,0.0,0.0,0.0
7074,CZ,2021,Carbaryl,1,1.0,0.01,0.0,0.0,0.0,0.0
7075,CZ,2021,Carbendazim and benomyl (sum),1,1.0,0.01,0.0,1.0,0.01,0.0
7076,CZ,2021,Carbendazim and thiophanate-methyl (sum),1,1.0,0.016,0.0,0.0,0.0,0.0
7077,CZ,2021,Carbofuran (sum),1,1.0,0.001,0.0,0.0,0.0,0.0
7078,CZ,2021,Carboxin,1,1.0,0.01,0.0,0.0,0.0,0.0
7079,CZ,2021,Chlorantraniliprole,1,1.0,0.01,0.0,0.0,0.0,0.0
7080,CZ,2021,Chlorbromuron,1,1.0,0.01,0.0,0.0,0.0,0.0
7082,CZ,2021,Chlorfenvinphos,1,1.0,0.01,0.0,0.0,0.0,0.0
7084,CZ,2021,Chlorothalonil (sum),1,1.0,0.01,0.0,0.0,0.0,0.0
7085,CZ,2021,Chlorotoluron (sum),1,1.0,0.01,0.0,0.0,0.0,0.0
7088,CZ,2021,Cinidon-ethyl (sum),1,1.0,0.01,0.0,0.0,0.0,0.0
7089,CZ,2021,Clofentezine (sum),1,1.0,0.01,0.0,0.0,0.0,0.0
7090,CZ,2021,Clomazone (sum),1,1.0,0.01,0.0,0.0,0.0,0.0
7091,CZ,2021,Coumaphos,1,1.0,0.01,0.0,0.0,0.0,0.0
7092,CZ,2021,Cyanazine,1,1.0,0.01,0.0,0.0,0.0,0.0
7093,CZ,2021,Cyazofamid,1,1.0,0.01,0.0,0.0,0.0,0.0
7094,CZ,2021,Cycloate,1,1.0,0.01,0.0,0.0,0.0,0.0
7095,CZ,2021,Cycloxydim (sum),1,1.0,0.022,0.017,0.0,0.0,0.0
7097,CZ,2021,Cymoxanil,1,1.0,0.01,0.0,0.0,0.0,0.0
7099,CZ,2021,Cyproconazole (sum),1,1.0,0.01,0.0,0.0,0.0,0.0
7100,CZ,2021,Cyprodinil (sum),1,1.0,0.01,0.0,0.0,0.0,0.0
7103,CZ,2021,Desmedipham,1,1.0,0.01,0.0,0.0,0.0,0.0
7105,CZ,2021,Dichlofluanid and DMSA (sum),1,1.0,0.01,0.0,0.0,0.0,0.0
7106,CZ,2021,Dichlorvos,1,1.0,0.01,0.0,0.0,0.0,0.0
7107,CZ,2021,Diclobutrazol,1,1.0,0.01,0.0,0.0,0.0,0.0
7108,CZ,2021,Dicloran,1,1.0,0.01,0.0,0.0,0.0,0.0
7110,CZ,2021,Diethofencarb,1,1.0,0.01,0.0,0.0,0.0,0.0
7111,CZ,2021,Difenoconazole,1,1.0,0.005,0.0,0.0,0.0,0.0
7112,CZ,2021,Diflubenzuron (sum),1,1.0,0.01,0.0,0.0,0.0,0.0
7113,CZ,2021,Diflufenican,1,1.0,0.01,0.0,0.0,0.0,0.0
7114,CZ,2021,Dimethachlor,1,1.0,0.01,0.0,0.0,0.0,0.0
7115,CZ,2021,Dimethenamid (sum),1,1.0,0.01,0.0,0.0,0.0,0.0
7116,CZ,2021,Dimethomorph (sum),1,1.0,0.01,0.0,0.0,0.0,0.0
7117,CZ,2021,Dimoxystrobin (sum),1,1.0,0.01,0.0,0.0,0.0,0.0
7118,CZ,2021,Diniconazole (sum),1,1.0,0.01,0.0,0.0,0.0,0.0
7119,CZ,2021,Diphenylamine,1,0.0,0.0,0.0,1.0,0.01,0.0
7120,CZ,2021,Disulfoton (sum),1,1.0,0.0045,0.003,0.0,0.0,0.0
7121,CZ,2021,Ditalimfos,1,1.0,0.01,0.0,0.0,0.0,0.0
7122,CZ,2021,Diuron,1,1.0,0.01,0.0,0.0,0.0,0.0
7123,CZ,2021,Dodine,1,1.0,0.01,0.0,0.0,0.0,0.0
7124,CZ,2021,EPN,1,1.0,0.01,0.0,0.0,0.0,0.0
7127,CZ,2021,Epoxiconazole,1,1.0,0.002,0.0,0.0,0.0,0.0
7128,CZ,2021,Ethion,1,1.0,0.01,0.0,0.0,0.0,0.0
7129,CZ,2021,Ethirimol,1,1.0,0.01,0.0,0.0,0.0,0.0
7130,CZ,2021,Ethoprophos,1,1.0,0.01,0.0,0.0,0.0,0.0
7133,CZ,2021,Etrimfos,1,1.0,0.01,0.0,0.0,0.0,0.0
7135,CZ,2021,Fenamidone,1,1.0,0.01,0.0,0.0,0.0,0.0
7136,CZ,2021,Fenarimol,1,1.0,0.01,0.0,0.0,0.0,0.0
7137,CZ,2021,Fenazaquin,1,1.0,0.01,0.0,0.0,0.0,0.0
7138,CZ,2021,Fenhexamid,1,1.0,0.01,0.0,0.0,0.0,0.0
7139,CZ,2021,Fenitrothion,1,1.0,0.01,0.0,0.0,0.0,0.0
7140,CZ,2021,Fenoxycarb,1,1.0,0.01,0.0,0.0,0.0,0.0
7141,CZ,2021,Fenpropathrin,1,1.0,0.01,0.0,0.0,0.0,0.0
7142,CZ,2021,Fenpropimorph (sum),1,0.0,0.0,0.0,1.0,0.01,0.0
7146,CZ,2021,Fluazinam,1,1.0,0.01,0.0,0.0,0.0,0.0
7147,CZ,2021,Flubendiamide (sum),1,1.0,0.01,0.0,0.0,0.0,0.0
7148,CZ,2021,Fludioxonil (sum),1,1.0,0.01,0.0,0.0,0.0,0.0
7149,CZ,2021,Flufenacet (sum),1,1.0,0.01,0.0,0.0,0.0,0.0
7150,CZ,2021,Flufenoxuron,1,1.0,0.01,0.0,0.0,0.0,0.0
7151,CZ,2021,Flumioxazin,1,1.0,0.01,0.0,0.0,0.0,0.0
7152,CZ,2021,Fluopicolide,1,1.0,0.01,0.0,0.0,0.0,0.0
7154,CZ,2021,Fluopyram (sum),1,1.0,0.01,0.0,0.0,0.0,0.0
7156,CZ,2021,Flusilazole (sum),1,1.0,0.01,0.0,0.0,0.0,0.0
7157,CZ,2021,Flutolanil (sum),1,1.0,0.01,0.0,0.0,0.0,0.0
7158,CZ,2021,Flutriafol,1,1.0,0.01,0.0,0.0,0.0,0.0
7159,CZ,2021,Fluxapyroxad,1,1.0,0.01,0.0,0.0,0.0,0.0
7160,CZ,2021,Fomesafen,1,1.0,0.01,0.0,0.0,0.0,0.0
7161,CZ,2021,Fonofos,1,1.0,0.01,0.0,0.0,0.0,0.0
7162,CZ,2021,Formothion,1,1.0,0.01,0.0,0.0,0.0,0.0
7163,CZ,2021,Fosthiazate,1,1.0,0.01,0.0,0.0,0.0,0.0
7164,CZ,2021,Fuberidazole,1,1.0,0.01,0.0,0.0,0.0,0.0
7170,CZ,2021,Heptenophos,1,1.0,0.01,0.0,0.0,0.0,0.0
7172,CZ,2021,Hexaconazole,1,1.0,0.01,0.0,0.0,0.0,0.0
7173,CZ,2021,Hexaflumuron,1,1.0,0.01,0.0,0.0,0.0,0.0
7174,CZ,2021,Hexazinone,1,1.0,0.01,0.0,0.0,0.0,0.0
7175,CZ,2021,Hexythiazox (sum),1,1.0,0.01,0.0,0.0,0.0,0.0
7176,CZ,2021,Imazalil (sum),1,1.0,0.01,0.0,0.0,0.0,0.0
7177,CZ,2021,Imidacloprid,1,1.0,0.01,0.0,0.0,0.0,0.0
7179,CZ,2021,Ipconazole,1,1.0,0.01,0.0,0.0,0.0,0.0
7180,CZ,2021,Iprovalicarb,1,1.0,0.01,0.0,0.0,0.0,0.0
7181,CZ,2021,Isocarbophos,1,1.0,0.01,0.0,0.0,0.0,0.0
7182,CZ,2021,Isodrin,1,1.0,0.01,0.0,0.0,0.0,0.0
7183,CZ,2021,Isofenphos,1,1.0,0.01,0.0,0.0,0.0,0.0
7184,CZ,2021,Isofenphos-methyl,1,1.0,0.01,0.0,0.0,0.0,0.0
7185,CZ,2021,Isoprocarb,1,1.0,0.01,0.0,0.0,0.0,0.0
7186,CZ,2021,Isoprothiolane,1,1.0,0.01,0.0,0.0,0.0,0.0
7187,CZ,2021,Isoproturon,1,1.0,0.01,0.0,0.0,0.0,0.0
7188,CZ,2021,Isopyrazam (sum),1,1.0,0.01,0.0,0.0,0.0,0.0
7189,CZ,2021,Kresoxim methyl (sum),1,1.0,0.01,0.0,0.0,0.0,0.0
7190,CZ,2021,Lambda-cyhalothrin (sum),1,0.0,0.0,0.0,1.0,0.01,0.0
7191,CZ,2021,Lenacil,1,1.0,0.01,0.0,0.0,0.0,0.0
7193,CZ,2021,Linuron,1,1.0,0.01,0.0,0.0,0.0,0.0
7194,CZ,2021,Lufenuron (sum),1,1.0,0.01,0.0,0.0,0.0,0.0
7195,CZ,2021,Malathion (sum),1,1.0,0.0067,0.0029,0.0,0.0,0.0
7196,CZ,2021,Mecarbam,1,1.0,0.01,0.0,0.0,0.0,0.0
7197,CZ,2021,Mepronil,1,1.0,0.01,0.0,0.0,0.0,0.0
7198,CZ,2021,Metaflumizone (sum),1,0.0,0.0,0.0,1.0,0.01,0.0
7199,CZ,2021,Metalaxyl and metalaxyl-M (sum),1,1.0,0.01,0.0,0.0,0.0,0.0
7200,CZ,2021,Metaldehyde,1,1.0,0.01,0.0,0.0,0.0,0.0
7201,CZ,2021,Metamitron,1,1.0,0.01,0.0,0.0,0.0,0.0
7202,CZ,2021,Metazachlor (sum),1,1.0,0.01,0.0,0.0,0.0,0.0
7203,CZ,2021,Methacrifos,1,1.0,0.01,0.0,0.0,0.0,0.0
7204,CZ,2021,Methamidophos,1,1.0,0.01,0.0,0.0,0.0,0.0
7206,CZ,2021,Methiocarb (sum),1,1.0,0.0145,0.009,0.0,0.0,0.0
7208,CZ,2021,Methoxyfenozide,1,1.0,0.01,0.0,0.0,0.0,0.0
7209,CZ,2021,Metobromuron,1,1.0,0.01,0.0,0.0,0.0,0.0
7210,CZ,2021,Metolachlor and S-metolachlor (sum),1,1.0,0.01,0.0,0.0,0.0,0.0
7211,CZ,2021,Metoxuron,1,1.0,0.01,0.0,0.0,0.0,0.0
7212,CZ,2021,Metrafenone,1,1.0,0.01,0.0,0.0,0.0,0.0
7213,CZ,2021,Metribuzin,1,1.0,0.01,0.0,1.0,0.01,0.0
7214,CZ,2021,Mevinphos (sum),1,1.0,0.01,0.0,0.0,0.0,0.0
7215,CZ,2021,Molinate,1,1.0,0.01,0.0,0.0,0.0,0.0
