,year,origCountry,resVal
0,2011,BE,0.062
1,2012,DE,0.021
2,2013,ES,1.1
3,2014,CY,0.00524
4,2015,BE,0.01178
5,2016,BE,0.05801
6,2017,DE,0.00272
7,2018,DE,0.033
8,2019,XX,0.01
9,2020,HU,0.026
10,2021,HU,0.026
11,2023,BE,0.035
12,2024,PL,2.0
