,tag,sampleId
19,Hexachlorobenzene,117
9,Copper compounds,97
11,DDT (sum),80
6,Bromide ion,22
8,Chlordane (sum),6
21,Mercury compounds,4
7,Chlorate,4
2,BAC 12,3
15,HCH-alpha,3
17,Heptachlor (sum of isomers),2
