,sampCountry,year,programme,percentage_with_pesticides,percentage_val_result,total_samples
136,IE,2021,voluntary,100.0,27.78,90
137,IE,2022,obligatory,100.0,8.33,12
138,IE,2022,voluntary,100.0,5.56,90
139,IE,2023,voluntary,100.0,3.57,84
140,IE,2024,voluntary,100.0,1.28,78
141,IT,2011,voluntary,100.0,0.0,5
142,IT,2012,voluntary,100.0,0.0,18
143,IT,2013,obligatory,100.0,0.0,38
144,IT,2013,voluntary,100.0,0.0,61
145,IT,2014,voluntary,100.0,0.0,102
146,IT,2015,voluntary,100.0,0.0,120
147,IT,2016,obligatory,100.0,0.0,86
148,IT,2016,voluntary,100.0,3.81,105
149,IT,2017,voluntary,100.0,2.06,194
150,IT,2018,voluntary,100.0,0.0,167
151,IT,2019,obligatory,100.0,0.0,147
152,IT,2019,voluntary,100.0,0.0,261
153,IT,2020,voluntary,100.0,0.0,174
154,IT,2021,voluntary,100.0,0.0,219
155,IT,2022,obligatory,100.0,0.84,119
156,IT,2022,voluntary,100.0,1.85,271
157,IT,2023,voluntary,100.0,1.17,341
158,IT,2024,voluntary,100.0,0.65,155
159,LU,2013,obligatory,100.0,0.0,20
160,LU,2016,obligatory,100.0,0.0,30
161,LU,2016,voluntary,100.0,0.0,30
162,LU,2019,obligatory,100.0,0.0,15
163,LU,2019,voluntary,100.0,0.0,15
164,LU,2022,obligatory,100.0,0.0,15
165,LU,2022,voluntary,100.0,0.0,15
166,LU,2024,voluntary,100.0,0.0,1
167,LV,2013,obligatory,100.0,0.0,11
168,LV,2016,obligatory,100.0,0.0,15
169,LV,2019,obligatory,100.0,0.0,12
170,LV,2022,obligatory,100.0,0.0,12
171,LV,2023,voluntary,100.0,0.0,1
172,LV,2024,voluntary,100.0,0.0,5
173,MT,2013,obligatory,100.0,0.0,16
174,MT,2013,voluntary,100.0,0.0,16
175,MT,2016,obligatory,100.0,0.0,14
176,MT,2016,voluntary,100.0,0.0,14
177,MT,2019,obligatory,100.0,0.0,12
178,MT,2022,obligatory,100.0,0.0,12
179,MT,2024,voluntary,100.0,0.0,5
180,NL,2013,obligatory,100.0,0.0,35
181,NL,2013,voluntary,100.0,0.0,35
182,NL,2016,obligatory,100.0,0.0,29
183,NL,2016,voluntary,100.0,0.0,29
184,NL,2019,obligatory,100.0,0.0,858
185,NL,2019,voluntary,100.0,0.0,858
186,NL,2020,voluntary,100.0,0.0,808
187,NL,2021,voluntary,100.0,2.5,40
188,NL,2022,obligatory,100.0,55.88,34
189,NL,2022,voluntary,100.0,55.88,34
190,NL,2024,voluntary,100.0,0.9,443
191,NO,2013,obligatory,100.0,0.0,15
192,NO,2016,obligatory,100.0,0.0,15
193,NO,2019,obligatory,100.0,0.0,12
194,NO,2022,obligatory,100.0,0.0,254
195,NO,2022,voluntary,100.0,0.0,242
196,NO,2023,voluntary,100.0,3.7,54
197,NO,2024,voluntary,100.0,0.0,11
198,PL,2011,voluntary,100.0,0.0,21
199,PL,2012,voluntary,100.0,0.0,11
200,PL,2013,obligatory,100.0,0.0,30
201,PL,2013,voluntary,100.0,0.0,30
202,PL,2014,voluntary,100.0,0.0,30
203,PL,2016,obligatory,100.0,0.0,39
204,PL,2016,voluntary,100.0,0.0,39
205,PL,2019,obligatory,100.0,0.0,55
206,PL,2019,voluntary,100.0,0.0,55
207,PL,2021,voluntary,100.0,0.0,40
208,PL,2022,obligatory,100.0,0.0,53
209,PL,2022,voluntary,100.0,0.0,55
210,PL,2023,voluntary,100.0,0.0,157
211,PL,2024,voluntary,100.0,0.49,203
212,RO,2011,voluntary,100.0,42.11,19
