,sampleId,sampCountry,origCountry,productCode,efsaProductCode,productTreat,progType,pesticideCode,resVal,fatPerc,resType,year
1065510,B3CB1DB1FA1D143C71737D6E0E7B49A7,HU,HU,A02LZ,,,K005A,RF-0260-002-PPP,0.01,,LOQ,2020
1065511,B3CB1DB1FA1D143C71737D6E0E7B49A7,HU,HU,A02LZ,,,K005A,RF-0263-001-PPP,0.005,,LOQ,2020
1065512,B3CB1DB1FA1D143C71737D6E0E7B49A7,HU,HU,A02LZ,,,K005A,RF-0295-001-PPP,0.005,,LOQ,2020
1065513,B3CB1DB1FA1D143C71737D6E0E7B49A7,HU,HU,A02LZ,,,K005A,RF-0311-001-PPP,0.01,,LOQ,2020
1065514,B3CB1DB1FA1D143C71737D6E0E7B49A7,HU,HU,A02LZ,,,K005A,RF-0327-001-PPP,0.01,,LOQ,2020
1065515,B3CB1DB1FA1D143C71737D6E0E7B49A7,HU,HU,A02LZ,,,K005A,RF-0375-001-PPP,0.01,,LOQ,2020
1065516,B3CB1DB1FA1D143C71737D6E0E7B49A7,HU,HU,A02LZ,,,K005A,RF-0394-001-PPP,0.004,,LOQ,2020
1065517,B3CB1DB1FA1D143C71737D6E0E7B49A7,HU,HU,A02LZ,,,K005A,RF-0823-001-PPP,0.01,,LOQ,2020
1065518,B3CB1DB1FA1D143C71737D6E0E7B49A7,HU,HU,A02LZ,,,K005A,RF-0088-001-PPP,0.005,,LOQ,2020
1065519,B3CB1DB1FA1D143C71737D6E0E7B49A7,HU,HU,A02LZ,,,K005A,RF-0021-002-PPP,0.002,,LOQ,2020
1065520,B3CB1DB1FA1D143C71737D6E0E7B49A7,HU,HU,A02LZ,,,K005A,RF-0021-003-PPP,0.002,,LOQ,2020
1065521,B3CB1DB1FA1D143C71737D6E0E7B49A7,HU,HU,A02LZ,,,K005A,RF-0119-006-PPP,0.005,,LOQ,2020
