,year,origCountry,resVal
0,2011,CZ,0.029
1,2012,SK,0.0357
2,2013,BE,0.01353
3,2014,XX,0.0137596
4,2015,GR,0.07803
5,2016,CZ,0.01156
6,2017,CZ,0.013
7,2018,DE,0.013
8,2019,CZ,0.025
9,2020,CZ,0.056
10,2021,CZ,0.019
11,2022,DE,0.0078
12,2024,DE,0.014
