,sampCountry,year,tag,num_samples,above_mrl_samples,above_mrl_mean,above_mrl_std,between_loq_and_mrl_samples,between_loq_and_mrl_mean,between_loq_and_mrl_std
370,CZ,2016,Indoxacarb (sum),20,0.0,0.0,0.0,2.0,0.002,0.0
384,CZ,2017,DDT (sum),19,0.0,0.0,0.0,14.0,0.0055,0.0034
395,CZ,2017,Hexachlorobenzene,19,0.0,0.0,0.0,12.0,0.0018,0.0006
409,CZ,2018,DDT (sum),17,0.0,0.0,0.0,10.0,0.0042,0.002
421,CZ,2018,Hexachlorobenzene,17,0.0,0.0,0.0,5.0,0.0016,0.0005
435,CZ,2019,DDT (sum),12,0.0,0.0,0.0,12.0,0.0106,0.0041
448,CZ,2019,Hexachlorobenzene,12,2.0,0.0065,0.0007,10.0,0.0043,0.0005
462,CZ,2020,DDT (sum),12,1.0,0.053,0.0042,10.0,0.0065,0.002
473,CZ,2020,Hexachlorobenzene,12,1.0,0.006,0.0,7.0,0.0027,0.001
487,CZ,2021,DDT (sum),12,0.0,0.0,0.0,9.0,0.0068,0.0054
500,CZ,2021,Hexachlorobenzene,12,0.0,0.0,0.0,1.0,0.005,0.0
515,CZ,2022,DDT (sum),12,0.0,0.0,0.0,11.0,0.0046,0.0015
528,CZ,2022,Hexachlorobenzene,12,0.0,0.0,0.0,9.0,0.0014,0.0005
529,CZ,2022,Indoxacarb (sum),12,0.0,0.0,0.0,1.0,0.003,0.0
552,CZ,2024,DDT (sum),9,0.0,0.0,0.0,3.0,0.0023,0.0009
559,CZ,2024,Hexachlorobenzene,9,0.0,0.0,0.0,1.0,0.002,0.0
580,DE,2011,DDT (sum),136,0.0,0.0,0.0,37.0,0.0041,0.0046
587,DE,2011,Endosulfan (sum),136,0.0,0.0,0.0,1.0,0.001,0.0
600,DE,2011,HCH-alpha,136,0.0,0.0,0.0,2.0,0.003,0.0
601,DE,2011,HCH-beta,136,0.0,0.0,0.0,3.0,0.0017,0.0006
604,DE,2011,Hexachlorobenzene,136,0.0,0.0,0.0,25.0,0.0027,0.0007
607,DE,2011,Lindane,136,0.0,0.0,0.0,3.0,0.001,0.0
661,DE,2012,DDT (sum),113,0.0,0.0,0.0,31.0,0.0031,0.0037
681,DE,2012,HCH-beta,113,0.0,0.0,0.0,1.0,0.002,0.0
684,DE,2012,Hexachlorobenzene,113,0.0,0.0,0.0,30.0,0.0025,0.0008
689,DE,2012,Mercury compounds,51,1.0,0.0132,0.0,7.0,0.0034,0.0022
654,DE,2012,Copper compounds,7,0.0,0.0,0.0,4.0,0.59,0.4359
660,DE,2012,DDAC (mix),5,0.0,0.0,0.0,4.0,0.022,0.011
696,DE,2012,Not in list,5,5.0,0.752,0.2513,0.0,0.0,0.0
762,DE,2013,DDT (sum),105,0.0,0.0,0.0,22.0,0.0019,0.0023
813,DE,2013,Lindane,105,0.0,0.0,0.0,3.0,0.0001,0.0
745,DE,2013,Chlordane (sum),91,0.0,0.0,0.0,1.0,0.0004,0.0
774,DE,2013,Endosulfan (sum),91,0.0,0.0,0.0,1.0,0.001,0.0
807,DE,2013,Hexachlorobenzene,91,1.0,0.0157,0.0,26.0,0.001,0.0007
728,DE,2013,Benzalkonium chloride,58,4.0,0.2975,0.0896,7.0,0.0347,0.0285
761,DE,2013,DDAC (mix),58,1.0,0.26,0.0,7.0,0.0277,0.0188
816,DE,2013,Mercury compounds,10,0.0,0.0,0.0,1.0,0.004,0.0
892,DE,2014,Copper compounds,177,1.0,8.05,0.0,75.0,0.3473,0.2254
899,DE,2014,DDT (sum),69,0.0,0.0,0.0,20.0,0.0012,0.0008
924,DE,2014,HCH-alpha,69,0.0,0.0,0.0,1.0,0.0003,0.0
935,DE,2014,Lindane,69,0.0,0.0,0.0,1.0,0.0002,0.0
929,DE,2014,Hexachlorobenzene,56,0.0,0.0,0.0,20.0,0.0005,0.0002
902,DE,2014,Dieldrin (sum),49,0.0,0.0,0.0,1.0,0.0006,0.0
881,DE,2014,Benzalkonium chloride,45,0.0,0.0,0.0,2.0,0.0125,0.0007
898,DE,2014,DDAC (mix),45,0.0,0.0,0.0,1.0,0.093,0.0
1011,DE,2015,DDT (sum),86,0.0,0.0,0.0,32.0,0.0016,0.0022
1055,DE,2015,Hexachlorobenzene,83,1.0,0.005,0.0,44.0,0.0011,0.001
1065,DE,2015,Mercury compounds,16,0.0,0.0,0.0,4.0,0.0028,0.0006
1163,DE,2016,DDT (sum),25,0.0,0.0,0.0,3.0,0.0063,0.0012
1218,DE,2016,Mercury compounds,4,1.0,0.0109,0.0,3.0,0.0059,0.0022
1321,DE,2017,DDT (sum),40,0.0,0.0,0.0,4.0,0.0036,0.002
1328,DE,2017,Endosulfan (sum),39,0.0,0.0,0.0,2.0,0.0217,0.0168
1359,DE,2017,Hexachlorobenzene,39,0.0,0.0,0.0,5.0,0.0023,0.0016
1320,DE,2017,DDAC (mix),10,0.0,0.0,0.0,1.0,0.023,0.0
1485,DE,2018,DDT (sum),174,0.0,0.0,0.0,22.0,0.0073,0.0026
1569,DE,2018,Hexachlorobenzene,173,0.0,0.0,0.0,18.0,0.0018,0.0005
1466,DE,2018,Chlorpyrifos,166,0.0,0.0,0.0,1.0,0.0041,0.0
1505,DE,2018,Diphenylamine,44,0.0,0.0,0.0,1.0,0.01,0.0
1484,DE,2018,DDAC (mix),11,0.0,0.0,0.0,1.0,0.033,0.0
1473,DE,2018,Copper compounds,1,0.0,0.0,0.0,1.0,0.125,0.0
1745,DE,2019,DDT (sum),41,0.0,0.0,0.0,7.0,0.0053,0.0012
1795,DE,2019,Hexachlorobenzene,41,0.0,0.0,0.0,1.0,0.0013,0.0
1802,DE,2019,Lambda-cyhalothrin (sum),39,0.0,0.0,0.0,1.0,0.0026,0.0
1972,DE,2021,DDT (sum),155,0.0,0.0,0.0,7.0,0.0057,0.004
2081,DE,2021,Hexachlorobenzene,155,0.0,0.0,0.0,13.0,0.0008,0.0
1958,DE,2021,Copper compounds,91,1.0,2.24,0.0,9.0,0.2245,0.3749
2116,DE,2021,Mercury compounds,82,3.0,0.02,0.0056,27.0,0.0025,0.0017
1899,DE,2021,BAC 16,42,1.0,1.65,0.0,0.0,0.0,0.0
1908,DE,2021,Benzalkonium chloride,42,1.0,1.65,0.0,0.0,0.0,0.0
1971,DE,2021,DDAC (mix),42,0.0,0.0,0.0,1.0,0.029,0.0
2291,DE,2022,DDT (sum),36,0.0,0.0,0.0,6.0,0.0047,0.0018
2312,DE,2022,HCH-beta,36,0.0,0.0,0.0,2.0,0.0024,0.0008
2314,DE,2022,Hexachlorobenzene,36,0.0,0.0,0.0,8.0,0.0016,0.0005
2369,DE,2023,BAC 12,20,0.0,0.0,0.0,1.0,0.02,0.0
2375,DE,2023,Benzalkonium chloride,20,0.0,0.0,0.0,1.0,0.02,0.0
2396,DE,2023,DDAC (mix),20,0.0,0.0,0.0,1.0,0.021,0.0
2547,DE,2024,DDT (sum),168,0.0,0.0,0.0,4.0,0.0072,0.0047
2598,DE,2024,Hexachlorobenzene,168,0.0,0.0,0.0,4.0,0.002,0.002
2604,DE,2024,Lindane,168,0.0,0.0,0.0,3.0,0.001,0.0
2609,DE,2024,Mercury compounds,7,0.0,0.0,0.0,1.0,0.0054,0.0
2808,EE,2012,DDT (sum),15,0.0,0.0,0.0,6.0,0.0022,0.0012
2822,EE,2012,Hexachlorobenzene,15,1.0,0.006,0.0,7.0,0.0017,0.0011
2848,EE,2015,Bromuconazole (sum),15,1.0,0.017,0.0,0.0,0.0,0.0
3677,GB,2012,DDT (sum),92,0.0,0.0,0.0,8.0,0.0176,0.0063
3706,GB,2014,BAC 12,72,0.0,0.0,0.0,10.0,0.039,0.0341
3707,GB,2014,BAC 14,72,0.0,0.0,0.0,3.0,0.0367,0.0153
3709,GB,2014,Benzalkonium chloride,72,1.0,0.2,0.0,9.0,0.0344,0.0305
3718,GB,2014,DDAC (mix),72,1.0,0.7,0.0,7.0,0.0471,0.0281
3752,GB,2015,BAC 12,187,9.0,0.2222,0.0441,43.0,0.0447,0.0291
3753,GB,2015,BAC 14,187,0.0,0.0,0.0,39.0,0.0333,0.0244
3754,GB,2015,BAC 16,187,0.0,0.0,0.0,1.0,0.01,0.0
3755,GB,2015,Benzalkonium chloride,187,12.0,0.275,0.1138,42.0,0.0505,0.0325
3778,GB,2015,Dieldrin (sum),187,1.0,0.01,0.0,0.0,0.0,0.0
3773,GB,2015,DDAC (mix),186,0.0,0.0,0.0,7.0,0.05,0.0469
3861,GB,2018,Chlorate,36,0.0,0.0,0.0,16.0,0.0262,0.012
3928,GB,2018,Permethrin (sum),36,0.0,0.0,0.0,1.0,0.01,0.0
4729,IE,2012,DDT (sum),15,0.0,0.0,0.0,1.0,0.023,0.0
4898,IE,2012,Piperonyl Butoxide,15,1.0,0.03,0.0,0.0,0.0,0.0
5971,IT,2014,DDT (sum),59,0.0,0.0,0.0,1.0,0.012,0.0
6294,IT,2016,BAC 12,5,2.0,0.25,0.0141,2.0,0.0335,0.0318
6295,IT,2016,BAC 14,4,2.0,0.165,0.0071,1.0,0.034,0.0
6536,IT,2017,BAC 12,15,0.0,0.0,0.0,6.0,0.0378,0.0277
6537,IT,2017,BAC 14,15,0.0,0.0,0.0,6.0,0.0268,0.0159
6596,IT,2018,BAC 12,9,0.0,0.0,0.0,3.0,0.017,0.0052
6597,IT,2018,BAC 14,9,0.0,0.0,0.0,1.0,0.017,0.0
6667,IT,2019,BAC 12,12,0.0,0.0,0.0,3.0,0.0253,0.0055
6668,IT,2019,BAC 14,12,0.0,0.0,0.0,2.0,0.0115,0.0007
6672,IT,2019,Benzalkonium chloride,12,0.0,0.0,0.0,3.0,0.033,0.0122
6720,IT,2020,BAC 12,5,0.0,0.0,0.0,1.0,0.013,0.0
6725,IT,2020,Benzalkonium chloride,5,0.0,0.0,0.0,1.0,0.013,0.0
6823,IT,2022,2-phenylphenol (sum),1,1.0,0.02,0.0,0.0,0.0,0.0
7084,IT,2023,Cypermethrin (sum),5,0.0,0.0,0.0,1.0,0.005,0.0
7105,IT,2023,Fenthion (sum),5,0.0,0.0,0.0,1.0,0.002,0.0
7081,IT,2023,Copper compounds,1,0.0,0.0,0.0,1.0,0.21,0.0
7128,IT,2023,Metribuzin,1,1.0,0.003,0.0,1.0,0.003,0.0
8182,SK,2013,DDAC (mix),1,1.0,0.17,0.0,0.0,0.0,0.0
