,paramcode,tag,long_name,obligatory,voluntary,total_samples
32,RF-00003329-PAR,Prochloraz (sum),"BTS 44596 (N'-Formyl-N-propyl-N-[2-(2,4,6-trichlorophenoxy)ethyl]urea)",0.0,50.0,50.0
519,RF-0458-001-PPP,"2,4,5-TP","2,4,5-TP",0.0,50.0,50.0
710,RF-0835-001-PPP,Pebulate,Pebulate,23.0,27.0,50.0
294,RF-0216-001-PPP,Flurprimidol,Flurprimidol,23.0,27.0,50.0
698,RF-0803-001-PPP,2-Naphthyloxyacetic acid,2-Naphthyloxyacetic acid,0.0,50.0,50.0
624,RF-0657-001-PPP,Etaconazole,Etaconazole,23.0,27.0,50.0
343,RF-0274-001-PPP,Mepanipyrim (sum),Mepanipyrim (Mepanipyrim and its metabolite (2-anilino-4-(2-hydroxypropyl)-6-methylpyrimidine) expressed as mepanipyrim),15.0,34.0,49.0
776,RF-0945-001-PPP,Transfluthrin,Transfluthrin,23.0,26.0,49.0
775,RF-0944-001-PPP,Tralomethrin,Tralomethrin,41.0,7.0,48.0
690,RF-0786-001-PPP,Methoprotryne,Methoprotryne,23.0,25.0,48.0
705,RF-0821-001-PPP,Ofurace,Ofurace,23.0,25.0,48.0
341,RF-0268-001-PPP,Mandipropamid (sum),Mandipropamid,15.0,33.0,48.0
786,RF-0991-001-PPP,Folpet (sum),Phthalimide (expressed as folpet),23.0,24.0,47.0
679,RF-0763-001-PPP,Isopropalin,Isopropalin,23.0,23.0,46.0
799,RF-1017-001-PPP,Phosfolan,Phosfolan,23.0,23.0,46.0
650,RF-0703-001-PPP,Fluchloralin,Fluchloralin,23.0,23.0,46.0
567,RF-0556-001-PPP,Chloroneb,Chloroneb,23.0,23.0,46.0
760,RF-0921-001-PPP,Captan (sum),Tetrahydrophthalimide,23.0,23.0,46.0
36,RF-00003340-PAR,Demeton-O,Demeton-O,23.0,23.0,46.0
660,RF-0732-001-PPP,Halfenprox,Halfenprox,23.0,23.0,46.0
382,RF-0312-001-PPP,Norflurazon,Norflurazon,23.0,23.0,46.0
627,RF-0661-001-PPP,Ethiofencarb (sum),Ethiofencarb (sum),30.0,15.0,45.0
28,RF-00003322-PAR,Carbofuran (sum),3-OH-carbofuran (free and conjugated) expressed as carbofuran,0.0,44.0,44.0
718,RF-0850-001-PPP,"Pirimicarb, Desmethylformamido-","Pirimicarb, Desmethylformamido-",14.0,29.0,43.0
284,RF-0203-001-PPP,Flufenacet (sum),Flufenacet (sum of all compounds containing the N fluorophenyl-N-isopropyl moiety expressed as flufenacet),15.0,28.0,43.0
93,RF-00011560-PAR,Ioxynil (sum),Ioxynil (sum),0.0,43.0,43.0
796,RF-1007-001-PPP,Tolylfluanid (sum),Tolylfluanid analysed as dimethylaminosulfotoluidide and expressed as tolylfluanid,18.0,25.0,43.0
274,RF-0193-001-PPP,Flazasulfuron,Flazasulfuron,15.0,28.0,43.0
276,RF-0195-001-PPP,Florasulam,Florasulam,15.0,27.0,42.0
74,RF-00005714-PAR,Fluroxypyr (sum),"Fluroxypyr (sum of fluroxypyr and its salts, expressed as fluroxypyr)",0.0,42.0,42.0
618,RF-0647-001-PPP,Edifenphos,Edifenphos,21.0,21.0,42.0
785,RF-0979-001-PPP,Nonachlor,Nonachlor,21.0,21.0,42.0
220,RF-0137-002-PPP,Dimethenamid (sum),Dimethenamid including other mixtures of constituent isomers including dimethenamid-P (sum of isomers),15.0,27.0,42.0
142,RF-0042-002-PPP,Bentazone (sum),Bentazone,15.0,27.0,42.0
125,RF-0022-001-PPP,Amidosulfuron,Amidosulfuron,15.0,27.0,42.0
780,RF-0961-001-PPP,Triflusulfuron-Methyl,Triflusulfuron-Methyl,15.0,27.0,42.0
598,RF-0610-001-PPP,Diclobutrazol,Diclobutrazol,15.0,26.0,41.0
39,RF-00003345-PAR,Metazachlor (sum),"Metazachlor (sum of metazachlor and its metabolites containing the 2,6-dimethylaniline moiety, expressed as metazachlor)",0.0,40.0,40.0
659,RF-0729-001-PPP,Furmecyclox,Furmecyclox,15.0,25.0,40.0
133,RF-0028-001-PPP,Asulam,Asulam,15.0,25.0,40.0
789,RF-0997-001-PPP,Endrin (sum),Endrin aldehyde (expressed as endrin),9.0,31.0,40.0
68,RF-00004684-PAR,Haloxyfop (sum),"Sum of haloxyfop, its salts and conjugates expressed as haloxyfop (sum of the R- and S- isomers at any ratio)",0.0,40.0,40.0
431,RF-0362-001-PPP,Propoxycarbazone (sum),"Propoxycarbazone (propoxycarbazone, its salts and 2-hydroxy-propoxy-propoxycarbazone, calculated as propoxycarbazone)",15.0,25.0,40.0
103,RF-00012870-PAR,Penflufen (sum),Penflufen (sum of isomers),0.0,39.0,39.0
805,RF-1057-001-PPP,Valifenalate,Valifenalate,0.0,39.0,39.0
240,RF-0153-001-PPP,DNOC,DNOC,0.0,39.0,39.0
278,RF-0198-001-PPP,Fluazinam,Fluazinam,0.0,38.0,38.0
275,RF-0194-002-PPP,Flonicamid (sum),Flonicamid,0.0,38.0,38.0
80,RF-00006809-PAR,"2,4,6-trichlorophenoxyacetic acid","2,4,6-trichlorophenoxyacetic acid",0.0,38.0,38.0
25,RF-00003038-PAR,Tebuconazole (sum),Hydroxy-tebuconazole,0.0,38.0,38.0
172,RF-0085-001-PPP,Chloroxuron,Chloroxuron,13.0,25.0,38.0
