,origCountry,year,tag,num_samples,above_mrl_samples,above_mrl_mean,above_mrl_std,between_loq_and_mrl_samples,between_loq_and_mrl_mean,between_loq_and_mrl_std
1362,CZ,2016,Indoxacarb (sum),20,0.0,0.0,0.0,2.0,0.002,0.0
1376,CZ,2017,DDT (sum),19,0.0,0.0,0.0,14.0,0.0055,0.0034
1387,CZ,2017,Hexachlorobenzene,19,0.0,0.0,0.0,12.0,0.0018,0.0006
1401,CZ,2018,DDT (sum),17,0.0,0.0,0.0,10.0,0.0042,0.002
1413,CZ,2018,Hexachlorobenzene,17,0.0,0.0,0.0,5.0,0.0016,0.0005
1427,CZ,2019,DDT (sum),12,0.0,0.0,0.0,12.0,0.0106,0.0041
1440,CZ,2019,Hexachlorobenzene,12,2.0,0.0065,0.0007,10.0,0.0043,0.0005
1454,CZ,2020,DDT (sum),12,1.0,0.053,0.0042,10.0,0.0065,0.002
1465,CZ,2020,Hexachlorobenzene,12,1.0,0.006,0.0,7.0,0.0027,0.001
1479,CZ,2021,DDT (sum),12,0.0,0.0,0.0,9.0,0.0068,0.0054
1492,CZ,2021,Hexachlorobenzene,12,0.0,0.0,0.0,1.0,0.005,0.0
1507,CZ,2022,DDT (sum),12,0.0,0.0,0.0,11.0,0.0046,0.0015
1520,CZ,2022,Hexachlorobenzene,12,0.0,0.0,0.0,9.0,0.0014,0.0005
1521,CZ,2022,Indoxacarb (sum),12,0.0,0.0,0.0,1.0,0.003,0.0
1542,CZ,2024,DDT (sum),8,0.0,0.0,0.0,3.0,0.0023,0.0009
1549,CZ,2024,Hexachlorobenzene,8,0.0,0.0,0.0,1.0,0.002,0.0
1570,DE,2011,DDT (sum),98,0.0,0.0,0.0,21.0,0.0045,0.0049
1591,DE,2011,HCH-beta,98,0.0,0.0,0.0,1.0,0.001,0.0
1594,DE,2011,Hexachlorobenzene,98,0.0,0.0,0.0,10.0,0.0026,0.0005
1649,DE,2012,DDT (sum),81,0.0,0.0,0.0,14.0,0.0044,0.005
1673,DE,2012,Hexachlorobenzene,78,0.0,0.0,0.0,11.0,0.0022,0.0008
1678,DE,2012,Mercury compounds,51,1.0,0.0132,0.0,7.0,0.0034,0.0022
1644,DE,2012,Copper compounds,7,0.0,0.0,0.0,4.0,0.59,0.4359
1648,DE,2012,DDAC (mix),5,0.0,0.0,0.0,4.0,0.022,0.011
