,tag,sampleId
9,DDT (sum),168
17,Hexachlorobenzene,123
4,Benzalkonium chloride,38
1,BAC 12,37
2,BAC 14,32
10,Dieldrin (sum),8
8,DDAC (mix),3
0,2-phenylphenol (sum),2
16,Heptachlor (sum),2
15,Heptachlor (sum of isomers),2
