,sampCountry,year,obligaotry_samples,voluntary_samples
197,PL,2013,30.0,30.0
198,PL,2014,0.0,30.0
199,PL,2016,39.0,39.0
200,PL,2019,55.0,55.0
201,PL,2021,0.0,40.0
202,PL,2022,53.0,55.0
203,PL,2023,0.0,157.0
204,PT,2016,18.0,18.0
205,PT,2019,7.0,0.0
206,PT,2023,0.0,7.0
207,RO,2011,0.0,19.0
208,RO,2012,0.0,23.0
209,RO,2013,32.0,32.0
210,RO,2014,0.0,14.0
211,RO,2015,0.0,22.0
212,RO,2016,27.0,27.0
213,RO,2017,0.0,2.0
214,RO,2019,10.0,7.0
215,RO,2022,13.0,13.0
216,RO,2023,0.0,10.0
217,SE,2013,32.0,0.0
218,SE,2016,30.0,0.0
219,SE,2019,15.0,0.0
220,SE,2020,0.0,5.0
221,SE,2021,0.0,5.0
222,SE,2022,20.0,5.0
223,SE,2023,0.0,29.0
224,SI,2013,10.0,10.0
225,SI,2014,0.0,5.0
226,SI,2015,0.0,15.0
227,SI,2016,15.0,15.0
228,SI,2017,0.0,4.0
229,SI,2018,0.0,10.0
230,SI,2019,12.0,12.0
231,SI,2020,0.0,10.0
232,SI,2021,0.0,10.0
233,SI,2022,12.0,12.0
234,SI,2023,0.0,22.0
235,SK,2013,15.0,5.0
236,SK,2015,0.0,1.0
237,SK,2016,15.0,0.0
238,SK,2019,15.0,0.0
239,SK,2022,12.0,0.0
240,XI,2021,0.0,47.0
241,XI,2022,72.0,72.0
242,XI,2023,0.0,63.0
