,tag,sampleId
178,Hexachlorobenzene,866
80,DDT (sum),581
67,Copper compounds,323
27,Benzalkonium chloride,64
174,HCH-beta,62
203,Lindane,60
173,HCH-alpha,60
176,Heptachlor (sum),52
92,Dieldrin (sum),51
110,Endosulfan (sum),46
