,customSampleId,pesticideCount,pesticideCode,tag,resVal,resType
87,11347,2,RF-0155-001-PPP,Endosulfan (sum),,LOQ
88,11347,2,RF-0112-001-PPP,Cypermethrin (sum),,LOQ
89,11347,2,RF-0311-001-PPP,Nitrofen,,LOQ
90,11347,2,RF-0239-002-PPP,HCH-beta,,LOQ
91,11347,2,RF-0236-001-PPP,Heptachlor (sum),,LOQ
92,11347,2,RF-0156-001-PPP,Endrin,,LOQ
93,11347,2,RF-0261-001-PPP,Lambda-Cyhalothrin (sum),,LOQ
94,11347,2,RF-0690-005-PPP,Fenvalerate and Esfenvalerate (sum of isomers),,LOQ
95,11347,2,RF-0842-001-PPP,Permethrin (sum),,LOQ
96,11347,2,RF-0263-001-PPP,Lindane,,LOQ
97,11347,2,RF-0021-001-PPP,Dieldrin (sum),,LOQ
98,124B5,2,RF-0155-001-PPP,Endosulfan (sum),,LOQ
99,124B5,2,RF-0866-001-PPP,Propetamphos,,LOQ
100,124B5,2,RF-0021-001-PPP,Dieldrin (sum),,LOQ
101,124B5,2,RF-0119-001-PPP,DDT (sum),0.001,VAL
102,124B5,2,RF-0690-004-PPP,Fenvalerate and Esfenvalerate (sum of isomers),,LOQ
103,124B5,2,RF-0837-001-PPP,Pentachloroanisole,,LOQ
104,124B5,2,RF-0156-001-PPP,Endrin,,LOQ
105,124B5,2,RF-0236-001-PPP,Heptachlor (sum),,LOQ
106,124B5,2,RF-0240-004-PPP,HCH (sum),,LOQ
107,124B5,2,RF-0120-001-PPP,Deltamethrin,,LOQ
108,124B5,2,RF-0690-005-PPP,Fenvalerate and Esfenvalerate (sum of isomers),,LOQ
109,124B5,2,RF-0238-001-PPP,HCH-alpha,,LOQ
110,124B5,2,RF-0237-001-PPP,Hexachlorobenzene,0.001,VAL
111,124B5,2,RF-0797-001-PPP,Mirex,,LOQ
112,124B5,2,RF-0311-001-PPP,Nitrofen,,LOQ
113,124B5,2,RF-0842-001-PPP,Permethrin (sum),,LOQ
114,124B5,2,RF-0263-001-PPP,Lindane,,LOQ
115,124B5,2,RF-0653-001-PPP,Endrin ketone,,LOQ
116,124B5,2,RF-0406-001-PPP,Tecnazene,,LOQ
117,124B5,2,RF-0112-001-PPP,Cypermethrin (sum),,LOQ
118,124B5,2,RF-0239-002-PPP,HCH-beta,,LOQ
119,124B5,2,RF-0736-001-PPP,HCH (sum),,LOQ
120,124B5,2,RF-0075-005-PPP,Chlordane (sum),,LOQ
121,124B5,2,RF-0123-001-PPP,Diazinon,,LOQ
122,124B5,2,RF-0112-002-PPP,Cypermethrin (sum),,LOQ
123,124B5,2,RF-0295-001-PPP,Methoxychlor,,LOQ
124,124B5,2,RF-0515-001-PPP,Bromocyclen,,LOQ
125,124B5,2,RF-0108-001-PPP,Cyfluthrin (sum),,LOQ
126,144A5,2,RF-0119-001-PPP,DDT (sum),0.001,VAL
127,144A5,2,RF-0123-001-PPP,Diazinon,,LOQ
128,144A5,2,RF-0236-001-PPP,Heptachlor (sum),,LOQ
129,144A5,2,RF-0021-001-PPP,Dieldrin (sum),,LOQ
130,144A5,2,RF-0736-001-PPP,HCH (sum),,LOQ
131,144A5,2,RF-0237-001-PPP,Hexachlorobenzene,0.003,VAL
132,144A5,2,RF-0842-001-PPP,Permethrin (sum),,LOQ
133,144A5,2,RF-0112-001-PPP,Cypermethrin (sum),,LOQ
