,sampleId,sampCountry,origCountry,productCode,efsaProductCode,productTreat,progType,pesticideCode,resVal,fatPerc,resType,year,tag,short_name,long_name,paramcode,limit,mandatory
25699,F200D12CF63CFA972619FAF2F6FD7221,IE,IE,P1020000A,-1,T999A,K005A,RF-0256-001-PPP,0.024,-1.0,VAL,2011,Iprovalicarb,Iprovalicarb,Iprovalicarb,RF-0256-001-PPP,0.01,False
35052,E0732294AEEBFE50607C46965608F259,BE,BE,P1020010A,-1,T999A,K005A,RF-0021-001-PPP,0.01642,4.0,VAL,2011,Dieldrin (sum),Dieldrin (sum),Aldrin and Dieldrin (Aldrin and dieldrin combined expressed as dieldrin),RF-0021-001-PPP,0.006,True
35054,E0732294AEEBFE50607C46965608F259,BE,BE,P1020010A,-1,T999A,K005A,RF-0021-003-PPP,0.01642,4.0,VAL,2011,Dieldrin (sum),Dieldrin (sum),Dieldrin,RF-0021-003-PPP,0.006,True
35055,E0732294AEEBFE50607C46965608F259,BE,BE,P1020010A,-1,T999A,K005A,RF-0237-001-PPP,0.01009,4.0,VAL,2011,Hexachlorobenzene,Hexachlorobenzene,Hexachlorobenzene,RF-0237-001-PPP,0.005,True
35079,3C7A8FB65F6412474825B1A0DD5BFEA3,BE,BE,P1020010A,-1,T999A,K005A,RF-0239-002-PPP,0.01304,4.0,VAL,2011,HCH-beta,HCH-beta,"Hexachlorocyclohexane (HCH), beta-isomer",RF-0239-002-PPP,0.01,True
35137,889765E2FB642A140E5B43D0E0CB5509,BE,BE,P1020010A,-1,T999A,K005A,RF-0239-002-PPP,0.03572,4.0,VAL,2011,HCH-beta,HCH-beta,"Hexachlorocyclohexane (HCH), beta-isomer",RF-0239-002-PPP,0.01,True
35302,522D6653EB5AEC83C307BBACA4D1AEAD,BE,BE,P1020010A,-1,T999A,K005A,RF-0239-002-PPP,0.01383,4.0,VAL,2011,HCH-beta,HCH-beta,"Hexachlorocyclohexane (HCH), beta-isomer",RF-0239-002-PPP,0.01,True
35316,FA43F13BC4FECCD445A180D290734D80,BE,BE,P1020010A,-1,T999A,K005A,RF-0021-001-PPP,0.01438,4.0,VAL,2011,Dieldrin (sum),Dieldrin (sum),Aldrin and Dieldrin (Aldrin and dieldrin combined expressed as dieldrin),RF-0021-001-PPP,0.006,True
35318,FA43F13BC4FECCD445A180D290734D80,BE,BE,P1020010A,-1,T999A,K005A,RF-0021-003-PPP,0.01438,4.0,VAL,2011,Dieldrin (sum),Dieldrin (sum),Dieldrin,RF-0021-003-PPP,0.006,True
35319,FA43F13BC4FECCD445A180D290734D80,BE,BE,P1020010A,-1,T999A,K005A,RF-0237-001-PPP,0.01168,4.0,VAL,2011,Hexachlorobenzene,Hexachlorobenzene,Hexachlorobenzene,RF-0237-001-PPP,0.005,True
35368,F6108C11B3734A9A145891CFFA9BEDD0,BE,BE,P1020010A,-1,T999A,K005A,RF-0075-005-PPP,0.04149,4.0,VAL,2011,Chlordane (sum),Chlordane (sum),Chlordane (sum of cis- and trans-isomers and oxychlordane expressed as chlordane),RF-0075-005-PPP,0.002,True
35369,F6108C11B3734A9A145891CFFA9BEDD0,BE,BE,P1020010A,-1,T999A,K005A,RF-0075-003-PPP,0.04149,4.0,VAL,2011,Chlordane (sum),"Chlordane, trans-","Chlordane, trans-",RF-0075-003-PPP,0.002,True
35396,9D4424E1CC43068508EF92684C0608DD,BE,BE,P1020010A,-1,T999A,K005A,RF-0119-007-PPP,0.0446,4.0,VAL,2011,DDT (sum),"DDE, o,p-","DDE, o,p-",RF-0119-007-PPP,0.04,True
35397,9D4424E1CC43068508EF92684C0608DD,BE,BE,P1020010A,-1,T999A,K005A,RF-0239-002-PPP,0.0194,4.0,VAL,2011,HCH-beta,HCH-beta,"Hexachlorocyclohexane (HCH), beta-isomer",RF-0239-002-PPP,0.01,True
35499,51319E438CF192DC2C99E0434B8DA43A,BE,BE,P1020010A,-1,T999A,K005A,RF-0119-001-PPP,0.062,4.0,VAL,2011,DDT (sum),DDT (sum),"DDT (sum of p,p'-DDT, o,p'-DDT, p-p'-DDE and p,p'-TDE (DDD) expressed as DDT)",RF-0119-001-PPP,0.04,True
35503,51319E438CF192DC2C99E0434B8DA43A,BE,BE,P1020010A,-1,T999A,K005A,RF-0021-001-PPP,0.01095,4.0,VAL,2011,Dieldrin (sum),Dieldrin (sum),Aldrin and Dieldrin (Aldrin and dieldrin combined expressed as dieldrin),RF-0021-001-PPP,0.006,True
35505,51319E438CF192DC2C99E0434B8DA43A,BE,BE,P1020010A,-1,T999A,K005A,RF-0236-005-PPP,0.02964,4.0,VAL,2011,Heptachlor (sum),Heptachlor epoxide,Heptachlor epoxide,RF-0236-005-PPP,0.004,True
35506,51319E438CF192DC2C99E0434B8DA43A,BE,BE,P1020010A,-1,T999A,K005A,RF-0237-001-PPP,0.01177,4.0,VAL,2011,Hexachlorobenzene,Hexachlorobenzene,Hexachlorobenzene,RF-0237-001-PPP,0.005,True
35508,51319E438CF192DC2C99E0434B8DA43A,BE,BE,P1020010A,-1,T999A,K005A,RF-0236-001-PPP,0.02964,4.0,VAL,2011,Heptachlor (sum),Heptachlor (sum),Heptachlor (sum of heptachlor and heptachlor epoxide expressed as heptachlor),RF-0236-001-PPP,0.004,True
35552,51319E438CF192DC2C99E0434B8DA43A,BE,BE,P1020010A,-1,T999A,K005A,RF-0021-003-PPP,0.01095,4.0,VAL,2011,Dieldrin (sum),Dieldrin (sum),Dieldrin,RF-0021-003-PPP,0.006,True
35570,750F30C1517FCEDA28C7E8EB66FF93F1,BE,BE,P1020010A,-1,T999A,K005A,RF-0239-002-PPP,0.017,4.0,VAL,2011,HCH-beta,HCH-beta,"Hexachlorocyclohexane (HCH), beta-isomer",RF-0239-002-PPP,0.01,True
55022,A435D4BDC238A8FCBB490C7835BD748C,DE,DE,P1020010A,-1,T999A,K005A,RF-0237-001-PPP,0.006,-1.0,VAL,2012,Hexachlorobenzene,Hexachlorobenzene,Hexachlorobenzene,RF-0237-001-PPP,0.005,True
63511,CA502B3C7D6F30DCC55FEA6FA661C416,DE,DE,P1020010A,-1,T999A,K005A,RF-0842-001-PPP,0.0005,-1.0,VAL,2012,Permethrin (sum),Permethrin (sum),Permethrin (sum of isomers),RF-0842-001-PPP,0.0,True
64921,294E55C4E9F6C8B49DF39707C0706381,DE,DE,P1020010A,-1,T999A,K005A,RF-1078-002-PPP,1.13,-1.0,VAL,2012,DDAC (mix),DDAC (mix),"Didecyldimethylammonium chloride (mixture of alkyl-quaternary ammonium salts with alkyl chain lengths of C8, C10 and C12)",RF-1078-002-PPP,0.1,True
64929,381401DD53774908E9F7AC0572A3D653,DE,DE,P1020010A,-1,T999A,K005A,RF-1078-002-PPP,1.96,-1.0,VAL,2012,DDAC (mix),DDAC (mix),"Didecyldimethylammonium chloride (mixture of alkyl-quaternary ammonium salts with alkyl chain lengths of C8, C10 and C12)",RF-1078-002-PPP,0.1,True
64930,FDB1D0E6B6EF95921CF1CB1106B5C48C,DE,DE,P1020010A,-1,T999A,K005A,RF-1078-002-PPP,89.48,-1.0,VAL,2012,DDAC (mix),DDAC (mix),"Didecyldimethylammonium chloride (mixture of alkyl-quaternary ammonium salts with alkyl chain lengths of C8, C10 and C12)",RF-1078-002-PPP,0.1,True
64933,81A8F5D2CCACCD72FEDBCC90BEBC5B79,DE,DE,P1020010A,-1,T999A,K005A,RF-1078-002-PPP,0.16,-1.0,VAL,2012,DDAC (mix),DDAC (mix),"Didecyldimethylammonium chloride (mixture of alkyl-quaternary ammonium salts with alkyl chain lengths of C8, C10 and C12)",RF-1078-002-PPP,0.1,True
64949,84EEDF4BDED1385AB1DFBAFF797C228C,DE,DE,P1020010A,-1,T999A,K005A,RF-XXXX-XXX-XXX,0.57,-1.0,VAL,2012,Not in list,Not in list,Not in list,RF-XXXX-XXX-XXX,0.01,True
64962,6575C17C30B361EC9FB48EC50C6738D3,DE,DE,P1020010A,-1,T999A,K005A,RF-XXXX-XXX-XXX,0.6,-1.0,VAL,2012,Not in list,Not in list,Not in list,RF-XXXX-XXX-XXX,0.01,True
