,sampleId,sampCountry,origCountry,productCode,efsaProductCode,productTreat,progType,pesticideCode,resVal,fatPerc,resType,year,tag,short_name,long_name,paramcode,limit,mandatory
4863,D476D58FC1E112B3539313CEF74C3CEC,DE,DE,P1020010A,-1,T999A,K005A,RF-0119-001-PPP,0.00018,-1.0,VAL,2011,DDT (sum),DDT (sum),"DDT (sum of p,p'-DDT, o,p'-DDT, p-p'-DDE and p,p'-TDE (DDD) expressed as DDT)",RF-0119-001-PPP,0.04,True
4879,084397D040E00AB9DFFFAA0B3B85BC6D,DE,DE,P1020010A,-1,T999A,K005A,RF-0119-001-PPP,0.00031,-1.0,VAL,2011,DDT (sum),DDT (sum),"DDT (sum of p,p'-DDT, o,p'-DDT, p-p'-DDE and p,p'-TDE (DDD) expressed as DDT)",RF-0119-001-PPP,0.04,True
4889,11681AC37E66ACE55A6D544E307A12CB,DE,DE,P1020010A,-1,T999A,K005A,RF-0237-001-PPP,0.003,4.0,VAL,2011,Hexachlorobenzene,Hexachlorobenzene,Hexachlorobenzene,RF-0237-001-PPP,0.005,True
4896,B8A02800A6FB2956C0B7FBD4B255D789,DE,DE,P1020010A,-1,T999A,K005A,RF-0119-001-PPP,9e-05,-1.0,VAL,2011,DDT (sum),DDT (sum),"DDT (sum of p,p'-DDT, o,p'-DDT, p-p'-DDE and p,p'-TDE (DDD) expressed as DDT)",RF-0119-001-PPP,0.04,True
4899,B042C6A1D9D46BE5A85F0B2590D32137,DE,DE,P1020010A,-1,T999A,K005A,RF-0237-001-PPP,0.002,4.0,VAL,2011,Hexachlorobenzene,Hexachlorobenzene,Hexachlorobenzene,RF-0237-001-PPP,0.005,True
4916,32646C6E516E57C35B86A0BE8C0BDBD7,DE,DE,P1020010A,-1,T999A,K005A,RF-0119-001-PPP,0.00022,-1.0,VAL,2011,DDT (sum),DDT (sum),"DDT (sum of p,p'-DDT, o,p'-DDT, p-p'-DDE and p,p'-TDE (DDD) expressed as DDT)",RF-0119-001-PPP,0.04,True
4923,37366D23C89EA32A73C967669AF8BE53,DE,DE,P1020010A,-1,T999A,K005A,RF-0119-001-PPP,0.00016,-1.0,VAL,2011,DDT (sum),DDT (sum),"DDT (sum of p,p'-DDT, o,p'-DDT, p-p'-DDE and p,p'-TDE (DDD) expressed as DDT)",RF-0119-001-PPP,0.04,True
4933,FF2BD6FB57537A02763A499B0E51CA62,DE,DE,P1020010A,-1,T999A,K005A,RF-0119-001-PPP,0.0007,4.0,VAL,2011,DDT (sum),DDT (sum),"DDT (sum of p,p'-DDT, o,p'-DDT, p-p'-DDE and p,p'-TDE (DDD) expressed as DDT)",RF-0119-001-PPP,0.04,True
4943,1BC24968524F421581D7032B5EBCB4D3,DE,DE,P1020010A,-1,T999A,K005A,RF-0237-001-PPP,8e-05,-1.0,VAL,2011,Hexachlorobenzene,Hexachlorobenzene,Hexachlorobenzene,RF-0237-001-PPP,0.005,True
4945,32646C6E516E57C35B86A0BE8C0BDBD7,DE,DE,P1020010A,-1,T999A,K005A,RF-0237-001-PPP,8e-05,-1.0,VAL,2011,Hexachlorobenzene,Hexachlorobenzene,Hexachlorobenzene,RF-0237-001-PPP,0.005,True
4957,773F0ABC1128A848C5D0A1465C89BEF1,DE,DE,P1020010A,-1,T999A,K005A,RF-0119-001-PPP,9e-05,-1.0,VAL,2011,DDT (sum),DDT (sum),"DDT (sum of p,p'-DDT, o,p'-DDT, p-p'-DDE and p,p'-TDE (DDD) expressed as DDT)",RF-0119-001-PPP,0.04,True
4966,D4DB07689D24835BBB8A4BCA34C87559,DE,DE,P1020010A,-1,T999A,K005A,RF-0237-001-PPP,0.003,4.0,VAL,2011,Hexachlorobenzene,Hexachlorobenzene,Hexachlorobenzene,RF-0237-001-PPP,0.005,True
4978,0965BC1722F2FF3B32734A464E9F665C,DE,DE,P1020010A,-1,T999A,K005A,RF-0237-001-PPP,0.003,4.0,VAL,2011,Hexachlorobenzene,Hexachlorobenzene,Hexachlorobenzene,RF-0237-001-PPP,0.005,True
4993,5B4BDB9C91CCE4D48BA9790813FFF981,DE,DE,P1020010A,-1,T999A,K005A,RF-0237-001-PPP,0.002,4.0,VAL,2011,Hexachlorobenzene,Hexachlorobenzene,Hexachlorobenzene,RF-0237-001-PPP,0.005,True
5000,FCFBCDEC7A89C298D558922B2236033A,DE,DE,P1020010A,-1,T999A,K005A,RF-0237-001-PPP,0.002,4.0,VAL,2011,Hexachlorobenzene,Hexachlorobenzene,Hexachlorobenzene,RF-0237-001-PPP,0.005,True
