,sampleId,sampCountry,origCountry,productCode,efsaProductCode,productTreat,progType,pesticideCode,resVal,fatPerc,resType,year,tag,short_name,long_name,paramcode,limit,mandatory
0,A5A85B6394B58A00F7E75DA76F35D8C9,CZ,CZ,P1020010A,A.01.001348,T134A,K018A,RF-0059-001-PPP,0.002,80.0,LOQ,2011,Camphechlor (sum),Toxaphene,Camphechlor (Toxaphene),RF-0059-001-PPP,0.01,True
1,A5A85B6394B58A00F7E75DA76F35D8C9,CZ,CZ,P1020010A,A.01.001348,T134A,K018A,RF-0032-001-PPP,0.01,80.0,LOQ,2011,Azinphos-ethyl,Azinphos-ethyl,Azinphos-ethyl,RF-0032-001-PPP,0.01,True
2,A5A85B6394B58A00F7E75DA76F35D8C9,CZ,CZ,P1020010A,A.01.001348,T134A,K018A,RF-0119-001-PPP,0.029,80.0,VAL,2011,DDT (sum),DDT (sum),"DDT (sum of p,p'-DDT, o,p'-DDT, p-p'-DDE and p,p'-TDE (DDD) expressed as DDT)",RF-0119-001-PPP,0.04,True
3,A5A85B6394B58A00F7E75DA76F35D8C9,CZ,CZ,P1020010A,A.01.001348,T134A,K018A,RF-0263-001-PPP,0.001,80.0,LOQ,2011,Lindane,Lindane,Lindane (Gamma-isomer of hexachlorocyclohexane (HCH)),RF-0263-001-PPP,0.01,True
4,A5A85B6394B58A00F7E75DA76F35D8C9,CZ,CZ,P1020010A,A.01.001348,T134A,K018A,RF-0406-001-PPP,0.03,80.0,LOQ,2011,Tecnazene,Tecnazene,Tecnazene,RF-0406-001-PPP,0.01,True
5,A5A85B6394B58A00F7E75DA76F35D8C9,CZ,CZ,P1020010A,A.01.001348,T134A,K018A,RF-0432-001-PPP,0.01,80.0,LOQ,2011,Triazophos,Triazophos,Triazophos,RF-0432-001-PPP,0.01,True
6,A5A85B6394B58A00F7E75DA76F35D8C9,CZ,CZ,P1020010A,A.01.001348,T134A,K018A,RF-0011-001-PPP,0.005,80.0,LOQ,2011,Abamectin (sum),Abamectin (sum),"Abamectin (sum of Avermectin B1a, Avermectin B1b and delta-8,9 isomer of Avermectin B1a)",RF-0011-001-PPP,0.01,True
7,A5A85B6394B58A00F7E75DA76F35D8C9,CZ,CZ,P1020010A,A.01.001348,T134A,K018A,RF-0238-001-PPP,0.002,80.0,LOQ,2011,HCH-alpha,HCH-alpha,"Hexachlorocyclohexane (HCH), alpha-isomer",RF-0238-001-PPP,0.01,True
8,A5A85B6394B58A00F7E75DA76F35D8C9,CZ,CZ,P1020010A,A.01.001348,T134A,K018A,RF-0075-002-PPP,0.001,80.0,LOQ,2011,Chlordane (sum),Chlordane,Chlordane,RF-0075-002-PPP,0.002,True
9,A5A85B6394B58A00F7E75DA76F35D8C9,CZ,CZ,P1020010A,A.01.001348,T134A,K018A,RF-0155-001-PPP,0.001,80.0,LOQ,2011,Endosulfan (sum),Endosulfan (sum),Endosulfan (sum of alpha- and beta-isomers and endosulfan-sulphate expresses as endosulfan),RF-0155-001-PPP,0.05,True
10,A5A85B6394B58A00F7E75DA76F35D8C9,CZ,CZ,P1020010A,A.01.001348,T134A,K018A,RF-0187-006-PPP,0.01,80.0,LOQ,2011,Fenthion (sum),Fenthion,Fenthion,RF-0187-006-PPP,0.01,True
11,A5A85B6394B58A00F7E75DA76F35D8C9,CZ,CZ,P1020010A,A.01.001348,T134A,K018A,RF-0108-003-PPP,0.005,80.0,LOQ,2011,Cyfluthrin (sum),Cyfluthrin,Cyfluthrin,RF-0108-003-PPP,0.02,True
